S.No,Category,Consumer (Nos.) As on 31-03-2010,Connected Load (MW) As on 31-03-2010
1,H.T. Supply,7336,6356
2,L.T. Supply Domestic,14194757,16461
3,L.T. Supply Public Lighting,283207,236
4,L.T. Supply Water Supply,167398,602
5,L.T. Supply Industry,502511,8080
6,L.T. Supply Agriculture,1913697,7727
7,L.T. Supply Huts,1370290,65407
8,L.T. Supply Education etc.,114625,270
9,L.T. Supply Commercial,2636821,4740
10,L.T. Others,85622,104
11,L.T. Others - Places of Worship,72645,68390
12,L.T. Others - Temp,12340,33589
13,L.T. Others - Bulk Supply,637,2177
Total,Total,21276264,109983
