year,month,Peak Demand (MW),Peak met (MW),Peak not met (MW),Peak not met (%)
2022,5,16606,16606,0,0
2022,4,17306,17248,58,0.3
2022,3,16891,16891,0,0
2022,2,15990,15990,0,0
2022,1,14987,14979,8,0.1
2021,12,14219,14219,0,0
2021,11,13205,13199,6,0
2021,10,14462,14443,19,0.1
2021,9,15610,15523,87,0.6
2021,8,15730,15718,12,0.1
2021,7,15332,15332,0,0
2021,6,15820,15820,0,0
2021,5,15696,15696,0,0
2021,4,16541,16519,21,0.1
2021,3,16263,16263,0,0
2021,2,15004,15004,0,0
2021,1,13908,13908,0,0
2020,12,14004,14004,0,0
2020,11,15174,15064,110,0.7
2020,10,14758,14741,16,0.1
2020,9,14301,14283,18,0.1
2020,8,14212,14208,4,0
2020,7,13284,13284,0,0
2020,6,14591,14591,0,0
2020,5,14062,14021,42,0.3
2020,4,11435,11398,37,0.3
2020,3,15347,15347,0,0
2020,2,14768,14755,13,0.1
2020,1,14371,14336,34,0.2
2019,12,13710,13710,0,0
2019,11,13829,13829,0,0
2019,10,14335,14319,16,0.1
2019,9,14988,14964,25,0.2
2019,8,14571,14513,58,0.4
2019,7,15537,15534,3,0
2019,6,15727,15668,59,0.4
2019,5,15544,15522,22,0.1
2019,4,15680,15659,21,0.1
2019,3,15483,15448,35,0.2
2019,2,15041,15023,18,0.1
2019,1,13998,13952,45,0.3
