Sl.No,Generating Plant,2013-14 (in MU)
1,ETPS,1207
2,TTPS,7891
3,MTPS,6479
4,NCTPS,4102
5,Mettur Stage III,1978
6,North Chennai Stage II,2126
7,Kuttalam GTPS,641
8,Basin Bridge GTPS,1
9,Thirumakottai GTPS,498
10,Vazhuthur GTPS,729
11,Vazhuthur GTPS - Additional,526
Total,Total Thermal and Gas,26178
12,Hydro stations,5085
Total,Total Hydro Stations,5085
13,Wind Mill,13
Grand Total,Total Own Generation,31276
14,Neyveli - TS - I,3271
15,Neyveli - TS - I - Expansion,1584
16,Neyveli - TS - II Stage - 1,1443
17,Neyveli - TS - II Stage - 2,1956
18,NTPC,4005
19,NTPC Talcher,3475
20,NTPC Stage III,1054
21,Eastern Region,267
22,KSEB Power,870
23,Simhadiri TPS EXP,1572
24,Kundankulam 2 x 1000 MW (46%),462
25,MAPS,1332
26,Kaiga Atomic,1580
27,NTECL JV with NTPC 75%,2558
28,Wind mill,10918
29,Co-generation,1492
30,Biomass,6
31,Captive generation,1812
32,Solar,19
33,GMR Power Corpn (IPP),804
34,Samalpatti Power Corpn (IPP),300
35,Madurai Power Corpn (IPP),346
36,Pillaiperumalnallur (IPP),1427
37,STCMS (IPP),1721
38,LANCO Power (Aban co),699
39,PIONEER Power Co. (Penna),364
40,"UI, Bundled Solar, etc.",146
41,Power Traders,6458
42,Local CPPs,6385
43,Power Exchanges,761
44,UI Export,-569
Total,Total Power purchase,58518
Grand Total,Total power available,89794
