Sl.No,Category,Consumer (Nos) as on 31.03.2014,Connected Load (MW) as on 31.03.2014
1,H.T. Supply,8448,8694
2,L.T. Supply-Domestic,17219933,22255
3,L.T. Supply-Public Lighting,404730,300
4,L.T. Supply-Water Supply,227137,744
5,L.T. Supply-Industry,590302,9842
6,L.T. Supply-Agriculture,2047174,8418
7,L.T. Supply-Huts,1182835,123
8,L.T. Supply-Education etc.,104764,420
9,L.T. Supply-Commercial,3287073,7350
10,L.T. Supply-Others ,159140,249
Total,All Categories,25231536,58395
