Sl.No,Category,Consumption (M.U),Percentage of Consumption
1,Industries (including Traction),31872,38.39%
2,Agriculture,11733,14.13%
3,Domestic,24530,29.55%
4,Commercial,9300,11.20%
5,Miscellaneous,5585,6.73%
Total,Total Categories,83020,100
