S.No,Category,Consumption (in MU),Percentage of Consumption
1,Industries (including Traction),36028,39.2
2,Agriculture,13064,14.21
3,Domestic,26996,29.37
4,Commercial,10282,11.19
5,Public Lighting and Water Works,2282,2.48
6,Sales to Licensees & Sales to Other States,151,0.16
7,Miscellaneous,3115,3.39
Total,Total,91918,100
