"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"SUM Monitored
Capacity
(MW)",SUM Target,,
,,,,,JAN-2022,,,,,,,FEB-2022,,,,,,,MAR-2022,,,,,,,APR-2022,,,,SUM 2022,
,,,,,PROGRAM,ACTUAL,,,,,,PROGRAM,ACTUAL,,,,,,PROGRAM,ACTUAL,,,,,,PROGRAM,ACTUAL,,,SUM PROGRAM,SUM ACTUAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,2,3,4,,,,1,2,3,4,,,,1,2,3,4,,,,1,2,3,4,1,2,3,4
TAMIL NADU,,,,,,,TAMIL NADU,,,,,,,TAMIL NADU,,,,,,,TAMIL NADU,,,,,,,,,,
STATE SECTOR,,,,,,,STATE SECTOR,,,,,,,STATE SECTOR,,,,,,,STATE SECTOR,,,,,,,,,,
ENNORE SCTPP,,,,0.00,0.00,0.00,ENNORE SCTPP,,,,0.00,0.00,0.00,ENNORE SCTPP,,,,0.00,0.00,0.00,ENNORE SCTPP,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
METTUR TPS,,,840.00,5500.00,438.00,496.02,METTUR TPS,,,840.00,5500.00,450.00,517.90,METTUR TPS,,,840.00,5500.00,497.00,391.28,METTUR TPS,,,840.00,5683.00,525.00,496.25,3360.00,22183.00,1910.00,1901.45
METTUR TPS - II,,,600.00,3500.00,324.00,239.78,METTUR TPS - II,,,600.00,3500.00,293.00,168.01,METTUR TPS - II,,,600.00,3500.00,324.00,278.74,METTUR TPS - II,,,600.00,3450.00,330.00,311.03,2400.00,13950.00,1271.00,997.56
NORTH CHENNAI TPS,,,1830.00,12970.00,1209.00,687.45,NORTH CHENNAI TPS,,,1830.00,12970.00,1092.00,739.50,NORTH CHENNAI TPS,,,1830.00,12970.00,1208.00,801.32,NORTH CHENNAI TPS,,,1830.00,15213.00,1392.00,929.90,7320.00,54123.00,4901.00,3158.17
TUTICORIN TPS,,,1050.00,5400.00,476.00,432.41,TUTICORIN TPS,,,1050.00,5400.00,449.00,459.16,TUTICORIN TPS,,,1050.00,5400.00,498.00,383.67,TUTICORIN TPS,,,1050.00,6200.00,595.00,341.90,4200.00,22400.00,2018.00,1617.14
TANGEDCO,COAL,,4320.00,27370.00,2447.00,1855.66,TANGEDCO,COAL,,4320.00,27370.00,2284.00,1884.57,TANGEDCO,COAL,,4320.00,27370.00,2527.00,1855.01,TANGEDCO,COAL,,4320.00,30546.00,2842.00,2079.08,17280.00,112656.00,10100.00,7674.32
STATE SECTOR,THERMAL,,4320.00,27370.00,2447.00,1855.66,STATE SECTOR,THERMAL,,4320.00,27370.00,2284.00,1884.57,STATE SECTOR,THERMAL,,4320.00,27370.00,2527.00,1855.01,STATE SECTOR,THERMAL,,4320.00,30546.00,2842.00,2079.08,17280.00,112656.00,10100.00,7674.32
