year,Requirement(MU/DAY),Energy_met(MU/DAY),Surplus(+)/Deficit(-)(MU/DAY),Requirement(MU),Energy_met(MU),Surplus(+)/Deficit(-)(MU),%Shortage(MU),Requirement(MW),Peak_Demand_Met5(MW),Surplus(+)/Deficit(-)(MW),%Shortage(MW)
2012,251.55555555555554,207.55555555555554,-44.22222222222222,68906.0,56813.0,-12093.0,-17.77777777777778,106715.0,92862.0,-13853.0,-12.666666666666666
2013,256.4166666666667,232.75,-23.75,93856.0,85185.0,-8671.0,-9.141666666666666,145122.0,137615.0,-7507.0,-5.216666666666667
2014,268.375,259.9916666666667,-8.383333333333335,97625.1,94603.6,-3021.6,-3.0666666666666664,154358.4,153581.4,-776.0,-0.3083333333333332
2015,267.4166666666667,263.2833333333333,-4.125,97604.20000000001,96106.10000000002,-1497.8999999999999,-1.5,159628.0,156531.0,-3096.0,-1.8916666666666668
2016,293.4583333333333,293.4166666666667,-0.049999999999999996,107373.0,107357.4,-15.6,-0.008333333333333333,173636.0,173521.0,-115.0,-0.06666666666666667
2017,288.56666666666666,288.425,-0.11666666666666668,105329.8,105284.5,-45.300000000000004,-0.03333333333333333,172805.0,172627.0,-177.0,-0.09166666666666667
2018,301.05833333333334,300.7583333333334,-0.25833333333333336,109869.79999999999,109775.59999999999,-94.1,-0.10000000000000002,180230.0,179792.0,-437.0,-0.25833333333333336
2019,305.5833333333333,304.5,-1.125,111507.0,111092.0,-415.0,-0.4166666666666667,181996.0,181900.0,-97.0,-0.05833333333333333
2020,281.9166666666667,281.8333333333333,0.049999999999999996,103137.0,103156.0,18.0,0.0,173229.0,173109.0,-121.0,-0.08333333333333333
2021,296.5,296.5,-0.03333333333333333,108233.0,108225.0,-7.0,-0.008333333333333333,185034.0,184835.0,-199.0,-0.11666666666666668
2022,328.6,328.4,-0.24,49649.0,49612.0,-35.0,-0.06000000000000001,83300.0,83217.0,-83.0,-0.1
