Category,Consumption (M.U),Percentage of Consumption
Industries (including Traction),29939,37.68
Agriculture,11542,14.52
Domestic,23489,29.56
Commercial,8860,11.15
Public Lighting & Water works,2232,2.81
Miscellaneous,3402,4.28
Total,79464,100
