S.No,Type of Power,Power Station,Year of Operation,Installed capacity (M.W) *,Gross Generation M.U **,Auxiliaries Consumption in M.U **,Net Generation in M.U **
1,Hydro,Pykara,1954.00,58.95,64.32,0.40,63.92
2,Hydro,Pykara Mini Hydel,1989.00,2.00,9.69,0.08,9.61
3,Hydro,PUSHEP,2005.00,150.00,560.22,2.92,557.30
4,Hydro,Moyar,1953.00,36.00,211.47,0.50,210.97
5,Hydro,Maravakandi Micro Hydel,1992.00,0.75,1.22,0.01,1.21
6,Hydro,Parsons valley,2000.00,30.00,65.33,0.19,65.14
7,Hydro,Kundah - 1,1964.00,60.00,278.75,0.73,278.02
8,Hydro,Kundah - 2,1964.00,175.00,734.21,0.79,733.42
9,Hydro,Kundah - 3,1978.00,180.00,438.24,2.32,435.92
10,Hydro,Kundah - 4,1978.00,100.00,166.98,0.27,166.71
11,Hydro,Kundah - 5,1988.00,40.00,85.21,0.23,84.98
12,Hydro,Mettur Dam,1946.00,50.00,82.52,0.26,82.26
13,Hydro,Mettur Tunnel,1966.00,200.00,389.36,0.73,388.63
14,Hydro,LMHEP - Barrage-1,1987.00,30.00,80.97,0.90,80.07
15,Hydro,LMHEP -Barrage-2,1988.00,30.00,76.57,0.78,75.79
16,Hydro,LMHEP - Barrage-3,1987.00,30.00,77.40,0.96,76.44
17,Hydro,LMHEP - Barrage-4,1988.00,30.00,63.30,0.84,62.46
18,Hydro,Bhavani Kattalai PH-1,2006.00,30.00,75.16,0.66,74.50
19,Hydro,Bhavanisagar RBC,1988.00,8.00,26.90,0.15,26.75
20,Hydro,Bhavani Sagar Small,1990.00,8.00,36.77,0.14,36.63
21,Hydro,Poonachi Micro,1992.00,2.00,3.40,0.02,3.38
22,Hydro,Sathanur Micro,1999.00,7.50,6.55,0.04,6.51
23,Hydro,Mukurthy Mini,2000.00,0.70,2.23,0.05,2.18
24,Hydro,Thirumoorthy Mini,2000.00,1.95,3.15,0.02,3.13
25,Hydro,Lower Aliyar,2002.00,2.50,7.83,0.05,7.78
26,Hydro,Amaravathy,2006.00,4.00,10.30,0.14,10.16
27,Hydro,Perunchani Mini,2006.00,1.30,2.35,0.01,2.34
28,Hydro,Periyar,1965.00,140.00,396.21,1.46,394.75
29,Hydro,Vaigai Small Hydel,1990.00,6.00,10.52,0.15,10.37
30,Hydro,Suruliyar,1986.00,35.00,99.04,0.41,98.63
31,Hydro,Papanasam,1951.00,32.00,130.01,0.81,129.20
32,Hydro,Servalar,1987.00,20.00,26.13,0.08,26.05
33,Hydro,Sarkarpathy,1966.00,30.00,121.16,0.08,121.08
34,Hydro,Aliyar,1970.00,60.00,166.11,0.42,165.69
35,Hydro,Kadamparai,1988.00,400.00,499.42,2.70,496.72
36,Hydro,Sholayar-1,1971.00,70.00,287.52,0.48,287.04
37,Hydro,Sholayar-2,1971.00,25.00,63.75,0.23,63.52
38,Hydro,Kodayar-1,1971.00,60.00,196.42,0.51,195.91
39,Hydro,Kodayar-2,1971.00,40.00,83.68,0.51,83.17
