S.No,Type of Power,Power Station,Year of Operation,Installed capacity (M.W) *,Gross Generation M.U **,Auxiliaries Consumption in M.U **,Net Generation in M.U **
Total,Hydro,Total Hydro,NA,2186.65,5640.36,22.03,5618.33
40,THERMAL,Ennore TPS,1970.00,450.00,1500.12,282.48,1217.64
41,THERMAL,North Chennai TPS,1994.00,630.00,4825.12,414.05,4411.07
42,THERMAL,Thoothukudi TPS,1979-1991,1050.00,7166.61,623.19,6543.42
43,THERMAL,Mettur TPS,1990.00,840.00,6390.57,522.32,5868.25
Total,THERMAL,Total Thermal,NA,2970.00,19882.41,1842.04,18040.37
44,GAS,Basin Bridge,1996.00,120.00,82.00,2.84,79.16
45,GAS,Kovil Kalappal,2001.00,107.88,534.00,46.80,487.20
46,GAS,Vazhuthur I & II,2003.00,187.00,1065.00,56.11,1008.89
47,GAS,Kutralam,2004.00,101.00,646.00,43.22,602.78
48,GAS,Wind Mill,NA,17.56,11.09,NA,11.09
Total,GAS,Total Gas,NA,515.88,2327.00,148.97,2178.03
49,Central Sector-Purchases,Neyveli TPS 1,1962.00,475.00,3269.16,NA,3269.16
50,Central Sector-Purchases,Neyveli TPS 1-Expansion,2003.00,226.00,1486.27,NA,1486.27
51,Central Sector-Purchases,Neyveli TPS 2,1986.00,466.00,3000.66,NA,3000.66
52,Central Sector-Purchases,MAPS Nuclear,1983.00,330.00,1259.17,NA,1259.17
53,Central Sector-Purchases,Kaiga Nuclear (Karnataka),2000.00,171.00,720.44,NA,720.44
54,Central Sector-Purchases,Ramagundam STPS (A.P),1984.00,527.00,4090.64,NA,4090.64
55,Central Sector-Purchases,Ramagundam STPS (A.P) U7,2005.00,132.00,1100.94,NA,1100.94
56,Central Sector-Purchases,ER Power,NA,125.00,496.79,NA,496.79
57,Central Sector-Purchases,Talcher St-2,NA,498.00,3802.12,NA,3802.12
58,Central Sector-Purchases,NTPC Kayamkulam ( TNEB),NA,180.00,1229.40,NA,1229.40
59,Central Sector-Purchases,NVVN (KSEB’s share)**,NA,NA,NA,NA,NA
60,Central Sector-Purchases,UI Energy,NA,NA,888.92,NA,888.92
Total,Central Sector-Purchases,Sub Total,NA,3130.00,21344.49,NA,21344.49
61,Private Sector : Purchases,GMR,NA,196.00,1144.67,NA,1144.67
62,Private Sector : Purchases,Samalpatty,NA,105.66,480.58,NA,480.58
63,Private Sector : Purchases,Pillai Perumal Nallur,NA,330.50,2258.34,NA,2258.34
64,Private Sector : Purchases,Madurai Power Corpn. Ltd,NA,106.00,467.20,NA,467.20
65,Private Sector : Purchases,STCMS,NA,250.00,1654.05,NA,1654.05
66,Private Sector : Purchases,Aban,NA,120.00,676.97,NA,676.97
67,Private Sector : Purchases,ARKAY (Penna),NA,71.60,338.73,NA,338.73
68,CPP,TCPL,NA,63.80,NA,NA,NA
69,CPP,Hi-tec,NA,10.50,655.26,NA,655.26
70,CPP,CPCL (Manali),NA,65.00,NA,NA,NA
71,CPP,Other CPPS,NA,75.40,NA,NA,NA
72,CPP,Co-Generation,NA,559.90,782.86,NA,782.86
73,CPP,Wind Mill + Solar (Pvt.),NA,4889.80,8134.42,NA,8134.42
74,CPP,Bio-mass,NA,137.10,103.85,NA,103.85
75,CPP,Power returned under swap,NA,NA,-634.44,NA,-634.44
76,CPP,CPP Purchase thro Traders,NA,NA,2507.56,NA,2507.56
77,CPP,Purchase from the power market,NA,NA,4445.19,NA,4445.19
78,CPP,Sale,NA,NA,-574.80,NA,-574.80
79,CPP,Purchases,NA,NA,1864.00,NA,1864.00
80,Power Demand,Instantaneous Demand,NA,NA,NA,NA,10180 MW / 
81,Power Demand,Sustained Demand,NA,NA,NA,NA,10046 MW /
