S.No,Category,Consumption (M.U.),Percentage of Consumption
1,Industries (including Traction),22790,39.77
2,Agriculture,11940,20.84
3,Domestic,13709,23.92
4,Commercial,5686,9.92
5,Public Lighting and Water works,1043,1.82
6,"Sales of Licensees,Sales to other States",420,0.73
7,Miscellaneous,1712,3
Total,Total,57300,100
