system:index,cap_year,capacitymw,comm_year,country,country_lg,fuel1,fuel2,fuel3,fuel4,gppd_idnr,gwh_2013,gwh_2014,gwh_2015,gwh_2016,gwh_estimt,latitude,longitude,name,owner,source,src_latlon,url,.geo
00000000000000005dde,0.0,39.2,0.0,IND,India,Wind,,,,WRI1026669,0.0,0.0,0.0,0.0,399.34633892217215,21.9038,69.3732,AES Saurashtra Windfarms,AES,CDM,WRI,https://cdm.unfccc.int/Projects/DB/DNV-CUK1328700673.83/view,"{""type"":""Point"",""coordinates"":[69.37318214439627,21.90380796925654]}"
00000000000000005de0,0.0,11.2,0.0,IND,India,Wind,,,,WRI1026670,0.0,0.0,0.0,0.0,114.09895397776347,22.1421,69.8442,Enercon Babarzar Wind Farm,Enercon India Ltd.,CDM,WRI,https://cdm.unfccc.int/Projects/DB/URSCert1371557111.17/view,"{""type"":""Point"",""coordinates"":[69.84418737747089,22.14209334970186]}"
00000000000000005de1,0.0,50.4,0.0,IND,India,Wind,,,,WRI1026345,0.0,0.0,0.0,0.0,513.4452928999356,22.1694,69.827,Lalpur Wind Farm,,CDM,WRI,https://cdm.unfccc.int/Projects/DB/LRQA%20Ltd1354282051.48/view,"{""type"":""Point"",""coordinates"":[69.82699707784562,22.169382389315867]}"
00000000000000005de2,0.0,49.6,0.0,IND,India,Wind,,,,WRI1026765,0.0,0.0,0.0,0.0,505.29536761580965,22.104,69.8323,Torrent Gujurat Wind Farm,Torrent Power Limited,CDM,WRI,https://cdm.unfccc.int/Projects/DB/SGS-UKL1353506542.98/view,"{""type"":""Point"",""coordinates"":[69.8322933059286,22.1039874374777]}"
00000000000000005de6,0.0,33.0,0.0,IND,India,Wind,,,,WRI1026082,0.0,0.0,0.0,0.0,336.1844179701959,22.7532,70.3961,Jodiya Wind Farm,,CDM,WRI,https://cdm.unfccc.int/filestorage/d/d/56KO8FQND07Y3H12PBALXWG9MRC4JV.pdf/PDD_-_GMDC_V05.pdf?t=bGh8b2pkZDEwfDAxL3Mrj_s1ZpnXL5ljSdCb,"{""type"":""Point"",""coordinates"":[70.39611718032192,22.753179327242453]}"
00000000000000005de7,0.0,35.2,0.0,IND,India,Wind,,,,WRI1026751,0.0,0.0,0.0,0.0,358.59671250154236,22.0983,70.2729,Patnaik Jamnagar Wind Farm,Patnaik Minerals Pvt. Ltd,CDM,WRI,https://cdm.unfccc.int/Projects/DB/RWTUV1288029478.94/view,"{""type"":""Point"",""coordinates"":[70.27291255245935,22.098287259795168]}"
00000000000000005de9,0.0,88.8,0.0,IND,India,Wind,,,,WRI1026794,0.0,0.0,0.0,0.0,904.6417065379818,22.0335,70.2313,HZL Samana Wind Farm,Hindustan Zinc Ltd.,CDM,WRI,https://cdm.unfccc.int/Projects/DB/BVQI1211956663.14/view,"{""type"":""Point"",""coordinates"":[70.23130574370576,22.033520674000744]}"
00000000000000005dec,0.0,3.6,0.0,IND,India,Wind,,,,WRI1026763,0.0,0.0,0.0,0.0,36.67466377856683,22.972,70.5443,Sumilon Vershamedi Wind Farm,Sumilon Industries Limited,CDM,WRI,https://cdm.unfccc.int/Projects/DB/KBS_Cert1356901324.44/view,"{""type"":""Point"",""coordinates"":[70.54432180006772,22.971985360331722]}"
00000000000000005ded,0.0,35.1,0.0,IND,India,Wind,,,,WRI1026084,0.0,0.0,0.0,0.0,357.57797184102657,23.0562,70.6004,Rucha Soya Wind Farm,,CDM,WRI,https://cdm.unfccc.int/filestorage/z/4/H6BE40Q3YPZ7ULD8OWFR1AIT5V2SXM.pdf/8592%20PDD.pdf?t=Sjd8b2pkZHV0fDDHMHx5kl40-cCl4qrFlA08,"{""type"":""Point"",""coordinates"":[70.60038102782741,23.05618641019335]}"
00000000000000005dee,0.0,21.0,0.0,IND,India,Wind,,,,WRI1026672,0.0,0.0,0.0,0.0,213.93553870830652,23.2443,70.4603,Chhadavada Wind Farm,India Oil Corporation Limited,CDM,WRI,https://cdm.unfccc.int/Projects/DB/DNV-CUK1304071464.49/view,"{""type"":""Point"",""coordinates"":[70.46030028336143,23.244292273716866]}"
00000000000000005def,0.0,91.8,0.0,IND,India,Wind,,,,WRI1026096,0.0,0.0,0.0,0.0,935.2039263534541,23.2409,70.509,Jangi Wind Farm,,CDM,WRI,https://cdm.unfccc.int/Projects/DB/RWTUV1342443620.03/view,"{""type"":""Point"",""coordinates"":[70.50899865175155,23.240881143765122]}"
00000000000000005df0,0.0,10.5,0.0,IND,India,Wind,,,,WRI1026777,0.0,0.0,0.0,0.0,106.96776935415326,23.208,70.5465,Jangi village wind farm,Energy Infratech Private Limited,CDM,WRI,https://cdm.unfccc.int/Projects/DB/RWTUV1279520653.8/view,"{""type"":""Point"",""coordinates"":[70.54652108122082,23.20798169304626]}"
00000000000000005df1,0.0,21.8,0.0,IND,India,Wind,,,,WRI1026673,0.0,0.0,0.0,0.0,222.08546399243247,23.2478,70.5948,Powerica Jangi Vandjiya,Powerica Limited,CDM,WRI,https://cdm.unfccc.int/Projects/DB/RWTUV1411994965.49/view,"{""type"":""Point"",""coordinates"":[70.59481550001139,23.247793170246297]}"
00000000000000005df2,0.0,14.85,0.0,IND,India,Wind,,,,WRI1026788,0.0,0.0,0.0,0.0,151.28298808658818,23.1897,70.6216,Powerica Kutch Wind Farm,,CDM,WRI,https://cdm.unfccc.int/Projects/DB/LRQA%20Ltd1270819651.34/view,"{""type"":""Point"",""coordinates"":[70.62161082344817,23.18971419448886]}"
00000000000000005df3,0.0,3.6,0.0,IND,India,Wind,,,,WRI1026762,0.0,0.0,0.0,0.0,36.67466377856683,23.2414,70.7262,Sumilon Shikarpur Wind Farm,Sumilon Industries Limited,CDM,WRI,https://cdm.unfccc.int/Projects/DB/KBS_Cert1356901324.44/view,"{""type"":""Point"",""coordinates"":[70.72618888644263,23.241419743231187]}"
00000000000000005e0e,0.0,6.25,0.0,IND,India,Wind,,,,WRI1026350,0.0,0.0,0.0,0.0,63.67129128223408,22.8985,76.0718,Nagda Hills Wind Energy project,,CDM,WRI,https://cdm.unfccc.int/Projects/DB/RWTUV1135356510.37/view,"{""type"":""Point"",""coordinates"":[76.07178858714661,22.898511416502565]}"
00000000000000005e11,0.0,98.7,0.0,IND,India,Wind,,,,WRI1026088,0.0,0.0,0.0,0.0,1005.4970319290406,23.6756,75.0565,Bhat Khedi Wind Farm,,CDM,WRI,https://cdm.unfccc.int/filestorage/h/l/W9FUXHOTR0Y5V2KQBIS4MPN17JEZLC.pdf/PDD%20-%2098.7%20MW%20wind%20power%20project%20at%20Ratlam%20in%20Madhya%20Pradesh%20by%20DJ%20Energy%20Private%20Limited.pdf?t=R2x8b2picWpsfDACMivhrOTU62i3hfmcbopg,"{""type"":""Point"",""coordinates"":[75.05648371032356,23.675620679457968]}"
00000000000000005e1e,0.0,37.5,0.0,IND,India,Wind,,,,WRI1026089,0.0,0.0,0.0,0.0,382.02774769340454,23.964,74.6215,Devgarh Wind Farm,,CDM,WRI,https://cdm.unfccc.int/filestorage/Y/I/R/YIR8M4NQJKLW63H1OZCGBTSA729PU5/37.5_MW_PDD_-_37.5_MW_Wind_power_project_at_Pratapgarh%2C_Rajasthan?t=WTF8b2pkZHAyfDApG31asZJ6b9TuTgaPGJDE,"{""type"":""Point"",""coordinates"":[74.62151975818652,23.963995810247418]}"
00000000000000005f5f,0.0,10.5,0.0,IND,India,Wind,,,,WRI1026771,0.0,0.0,0.0,0.0,106.96776935415326,8.823,77.6271,SWPPL Madhavakurichi,SWPPL,CDM,WRI,https://cdm.unfccc.int/Projects/DB/BVQI1351312018.91/view,"{""type"":""Point"",""coordinates"":[77.62708431198955,8.823022270069572]}"
00000000000000005f60,0.0,14.4,0.0,IND,India,Wind,,,,WRI1026774,0.0,0.0,0.0,0.0,146.69865511426732,8.9165,77.659,TVS Tirunelveli Wind Farm,TVS Energy Limited,CDM,WRI,https://cdm.unfccc.int/Projects/DB/BVQI1336676184.92/view,"{""type"":""Point"",""coordinates"":[77.65899633035396,8.916514160720844]}"
00000000000000005f61,0.0,34.65,0.0,IND,India,Wind,,,,WRI1026753,0.0,0.0,0.0,0.0,352.9936388687057,8.8709,77.4466,Wind power project by Riddhi Siddhi Gluco Biols Limited (RSGBL),Riddhi Siddhi Gluco Biols Limited,CDM,WRI,https://cdm.unfccc.int/Projects/DB/LRQA%20Ltd1356711565.56/view,"{""type"":""Point"",""coordinates"":[77.44660860756862,8.870912739260602]}"
