"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,JAN-2021,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,FEB-2021,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,MAR-2021,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,APR-2021,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"SUM Monitored
Capacity
(MW)",SUM Target,,
STATE SECTOR,THERMAL,,4320.00,26100.00,2480.00,1174.98,STATE SECTOR,THERMAL,,4320.00,26100.00,2318.00,1291.35,STATE SECTOR,THERMAL,,4320.00,26100.00,2242.00,1944.98,STATE SECTOR,THERMAL,,4320.00,27370.00,2449.00,1813.87,STATE SECTOR,THERMAL,,4320.00,27370.00,2532.00,1246.69,STATE SECTOR,THERMAL,,4320.00,27370.00,2167.00,1385.47,STATE SECTOR,THERMAL,,4320.00,27370.00,2020.00,1554.21,STATE SECTOR,THERMAL,,4320.00,27370.00,1780.00,2091.07,STATE SECTOR,THERMAL,,4320.00,27370.00,2354.00,1465.27,STATE SECTOR,THERMAL,,4320.00,27370.00,2530.00,2063.21,STATE SECTOR,THERMAL,,4320.00,27370.00,2112.00,1503.51,STATE SECTOR,THERMAL,,4320.00,27370.00,2168.00,1672.63,51840.00,324630.00,17663.00,30645.06
BASIN BRIDGE GT (Liq.),,,120.00,0.00,0.00,0.00,BASIN BRIDGE GT (Liq.),,,120.00,0.00,0.00,0.00,BASIN BRIDGE GT (Liq.),,,120.00,0.00,0.00,0.00,BASIN BRIDGE GT (Liq.),,,120.00,0.00,0.00,0.00,BASIN BRIDGE GT (Liq.),,,120.00,0.00,0.00,0.00,BASIN BRIDGE GT (Liq.),,,120.00,0.00,0.00,0.00,BASIN BRIDGE GT (Liq.),,,120.00,0.00,0.00,0.00,BASIN BRIDGE GT (Liq.),,,120.00,0.00,0.00,0.00,BASIN BRIDGE GT (Liq.),,,120.00,0.00,0.00,0.00,BASIN BRIDGE GT (Liq.),,,120.00,0.00,0.00,0.00,BASIN BRIDGE GT (Liq.),,,120.00,0.00,0.00,0.00,BASIN BRIDGE GT (Liq.),,,120.00,0.00,0.00,0.00,1440.00,0.00,0.00,0.00
KOVIKALPAL CCPP,,,107.88,324.00,32.00,15.39,KOVIKALPAL CCPP,,,107.88,324.00,29.00,13.71,KOVIKALPAL CCPP,,,107.88,324.00,34.00,13.57,KOVIKALPAL CCPP,,,107.88,140.00,11.00,12.44,KOVIKALPAL CCPP,,,107.88,140.00,12.00,11.67,KOVIKALPAL CCPP,,,107.88,140.00,11.00,12.47,KOVIKALPAL CCPP,,,107.88,140.00,12.00,12.73,KOVIKALPAL CCPP,,,107.88,140.00,12.00,8.34,KOVIKALPAL CCPP,,,107.88,140.00,11.00,10.18,KOVIKALPAL CCPP,,,107.88,140.00,12.00,9.49,KOVIKALPAL CCPP,,,107.88,140.00,11.00,18.63,KOVIKALPAL CCPP,,,107.88,140.00,12.00,16.75,1294.56,2232.00,93.00,193.26
KUTTALAM CCPP,,,100.00,370.00,32.00,19.27,KUTTALAM CCPP,,,100.00,370.00,29.00,3.82,KUTTALAM CCPP,,,100.00,370.00,35.00,25.89,KUTTALAM CCPP,,,100.00,370.00,30.00,43.85,KUTTALAM CCPP,,,100.00,370.00,31.00,22.42,KUTTALAM CCPP,,,100.00,370.00,30.00,28.25,KUTTALAM CCPP,,,100.00,370.00,31.00,20.62,KUTTALAM CCPP,,,100.00,370.00,31.00,22.35,KUTTALAM CCPP,,,100.00,370.00,30.00,22.49,KUTTALAM CCPP,,,100.00,370.00,32.00,26.70,KUTTALAM CCPP,,,100.00,370.00,31.00,39.32,KUTTALAM CCPP,,,100.00,370.00,32.00,39.69,1200.00,4440.00,248.00,469.84
VALUTHUR CCPP,,,186.20,900.00,77.00,44.09,VALUTHUR CCPP,,,186.20,900.00,71.00,37.77,VALUTHUR CCPP,,,186.20,900.00,82.00,39.27,VALUTHUR CCPP,,,186.20,1000.00,81.00,39.53,VALUTHUR CCPP,,,186.20,1000.00,85.00,41.79,VALUTHUR CCPP,,,186.20,1000.00,82.00,38.49,VALUTHUR CCPP,,,186.20,1000.00,86.00,64.10,VALUTHUR CCPP,,,186.20,1000.00,86.00,94.60,VALUTHUR CCPP,,,186.20,1000.00,82.00,95.81,VALUTHUR CCPP,,,186.20,1000.00,86.00,100.60,VALUTHUR CCPP,,,186.20,1000.00,81.00,93.04,VALUTHUR CCPP,,,186.20,1000.00,85.00,89.84,2234.40,11700.00,673.00,1291.27
TANGEDCO,NATURAL GAS,,514.08,1594.00,141.00,78.75,TANGEDCO,NATURAL GAS,,514.08,1594.00,129.00,55.30,TANGEDCO,NATURAL GAS,,514.08,1594.00,151.00,78.73,TANGEDCO,NATURAL GAS,,514.08,1510.00,122.00,95.82,TANGEDCO,NATURAL GAS,,514.08,1510.00,128.00,75.88,TANGEDCO,NATURAL GAS,,514.08,1510.00,123.00,79.21,TANGEDCO,NATURAL GAS,,514.08,1510.00,129.00,97.45,TANGEDCO,NATURAL GAS,,514.08,1510.00,129.00,125.29,TANGEDCO,NATURAL GAS,,514.08,1510.00,123.00,128.48,TANGEDCO,NATURAL GAS,,514.08,1510.00,130.00,136.79,TANGEDCO,NATURAL GAS,,514.08,1510.00,123.00,150.99,TANGEDCO,NATURAL GAS,,514.08,1510.00,129.00,146.28,6168.96,18372.00,1014.00,1954.37
STATE SECTOR,NATURAL GAS,,514.08,1594.00,141.00,78.75,STATE SECTOR,NATURAL GAS,,514.08,1594.00,129.00,55.30,STATE SECTOR,NATURAL GAS,,514.08,1594.00,151.00,78.73,STATE SECTOR,NATURAL GAS,,514.08,1510.00,122.00,95.82,STATE SECTOR,NATURAL GAS,,514.08,1510.00,128.00,75.88,STATE SECTOR,NATURAL GAS,,514.08,1510.00,123.00,79.21,STATE SECTOR,NATURAL GAS,,514.08,1510.00,129.00,97.45,STATE SECTOR,NATURAL GAS,,514.08,1510.00,129.00,125.29,STATE SECTOR,NATURAL GAS,,514.08,1510.00,123.00,128.48,STATE SECTOR,NATURAL GAS,,514.08,1510.00,130.00,136.79,STATE SECTOR,NATURAL GAS,,514.08,1510.00,123.00,150.99,STATE SECTOR,NATURAL GAS,,514.08,1510.00,129.00,146.28,6168.96,18372.00,1014.00,1954.37
ALIYAR  HPS,,,60.00,120.00,10.00,0.24,ALIYAR  HPS,,,60.00,120.00,9.00,0.00,ALIYAR  HPS,,,60.00,120.00,9.00,0.00,ALIYAR  HPS,,,60.00,133.00,10.00,0.00,ALIYAR  HPS,,,60.00,133.00,4.00,0.00,ALIYAR  HPS,,,60.00,133.00,0.00,0.00,ALIYAR  HPS,,,60.00,133.00,18.00,0.00,ALIYAR  HPS,,,60.00,133.00,18.00,0.00,ALIYAR  HPS,,,60.00,133.00,12.00,0.00,ALIYAR  HPS,,,60.00,133.00,12.00,0.00,ALIYAR  HPS,,,60.00,133.00,16.00,0.00,ALIYAR  HPS,,,60.00,133.00,15.00,0.00,720.00,1557.00,95.00,95.00
BHAWANI BARRAGE-II HPS,,,30.00,52.00,5.00,0.18,BHAWANI BARRAGE-II HPS,,,30.00,52.00,0.00,1.03,BHAWANI BARRAGE-II HPS,,,30.00,52.00,0.00,0.54,BHAWANI BARRAGE-II HPS,,,30.00,70.00,3.00,0.98,BHAWANI BARRAGE-II HPS,,,30.00,70.00,0.00,1.37,BHAWANI BARRAGE-II HPS,,,30.00,70.00,0.00,9.60,BHAWANI BARRAGE-II HPS,,,30.00,70.00,0.00,14.89,BHAWANI BARRAGE-II HPS,,,30.00,70.00,8.00,10.72,BHAWANI BARRAGE-II HPS,,,30.00,70.00,20.00,11.78,BHAWANI BARRAGE-II HPS,,,30.00,70.00,18.00,0.00,BHAWANI BARRAGE-II HPS,,,30.00,70.00,6.00,6.12,BHAWANI BARRAGE-II HPS,,,30.00,70.00,8.00,12.93,360.00,786.00,60.00,127.41
BHAWANI BARRAGE-III HPS,,,30.00,40.00,6.00,1.46,BHAWANI BARRAGE-III HPS,,,30.00,40.00,0.00,0.00,BHAWANI BARRAGE-III HPS,,,30.00,40.00,0.00,0.00,BHAWANI BARRAGE-III HPS,,,30.00,51.00,0.00,0.00,BHAWANI BARRAGE-III HPS,,,30.00,51.00,0.00,0.00,BHAWANI BARRAGE-III HPS,,,30.00,51.00,0.00,6.61,BHAWANI BARRAGE-III HPS,,,30.00,51.00,0.00,10.91,BHAWANI BARRAGE-III HPS,,,30.00,51.00,7.00,11.49,BHAWANI BARRAGE-III HPS,,,30.00,51.00,4.00,9.46,BHAWANI BARRAGE-III HPS,,,30.00,51.00,14.00,0.00,BHAWANI BARRAGE-III HPS,,,30.00,51.00,6.00,6.06,BHAWANI BARRAGE-III HPS,,,30.00,51.00,12.00,11.85,360.00,579.00,43.00,99.38
BHAWANI KATTAL,,,30.00,57.00,5.00,1.51,BHAWANI KATTAL,,,30.00,57.00,1.00,1.20,BHAWANI KATTAL,,,30.00,57.00,1.00,0.59,BHAWANI KATTAL,,,30.00,71.00,4.00,0.46,BHAWANI KATTAL,,,30.00,71.00,2.00,1.60,BHAWANI KATTAL,,,30.00,71.00,2.00,8.36,BHAWANI KATTAL,,,30.00,71.00,2.00,11.04,BHAWANI KATTAL,,,30.00,71.00,10.00,13.62,BHAWANI KATTAL,,,30.00,71.00,15.00,10.72,BHAWANI KATTAL,,,30.00,71.00,12.00,15.59,BHAWANI KATTAL,,,30.00,71.00,4.00,0.00,BHAWANI KATTAL,,,30.00,71.00,12.00,6.60,360.00,810.00,59.00,126.53
KADAMPARI HPS,,,400.00,378.00,31.00,22.16,KADAMPARI HPS,,,400.00,378.00,31.00,15.17,KADAMPARI HPS,,,400.00,378.00,16.00,7.51,KADAMPARI HPS,,,400.00,378.00,16.00,1.86,KADAMPARI HPS,,,400.00,378.00,16.00,0.00,KADAMPARI HPS,,,400.00,378.00,16.00,0.00,KADAMPARI HPS,,,400.00,378.00,44.00,2.76,KADAMPARI HPS,,,400.00,378.00,44.00,42.85,KADAMPARI HPS,,,400.00,378.00,44.00,26.29,KADAMPARI HPS,,,400.00,378.00,44.00,22.23,KADAMPARI HPS,,,400.00,378.00,44.00,32.81,KADAMPARI HPS,,,400.00,378.00,32.00,36.70,4800.00,4536.00,284.00,447.64
KODAYAR-I HPS,,,60.00,140.00,20.00,27.27,KODAYAR-I HPS,,,60.00,140.00,8.00,23.21,KODAYAR-I HPS,,,60.00,140.00,6.00,25.71,KODAYAR-I HPS,,,60.00,40.00,0.00,22.57,KODAYAR-I HPS,,,60.00,40.00,0.00,0.00,KODAYAR-I HPS,,,60.00,40.00,0.00,23.88,KODAYAR-I HPS,,,60.00,40.00,0.00,22.96,KODAYAR-I HPS,,,60.00,40.00,0.00,20.02,KODAYAR-I HPS,,,60.00,40.00,6.00,0.00,KODAYAR-I HPS,,,60.00,40.00,6.00,16.00,KODAYAR-I HPS,,,60.00,40.00,6.00,7.93,KODAYAR-I HPS,,,60.00,40.00,8.00,24.27,720.00,780.00,26.00,141.06
KODAYAR-II HPS,,,40.00,60.00,7.00,13.91,KODAYAR-II HPS,,,40.00,60.00,4.00,6.11,KODAYAR-II HPS,,,40.00,60.00,4.00,6.09,KODAYAR-II HPS,,,40.00,80.00,0.00,5.34,KODAYAR-II HPS,,,40.00,80.00,4.00,5.77,KODAYAR-II HPS,,,40.00,80.00,4.00,9.95,KODAYAR-II HPS,,,40.00,80.00,4.00,9.37,KODAYAR-II HPS,,,40.00,80.00,7.00,6.39,KODAYAR-II HPS,,,40.00,80.00,9.00,0.00,KODAYAR-II HPS,,,40.00,80.00,9.00,0.00,KODAYAR-II HPS,,,40.00,80.00,11.00,0.00,KODAYAR-II HPS,,,40.00,80.00,12.00,0.00,480.00,900.00,60.00,91.48
KUNDAH-I HPS,,,60.00,216.00,15.00,25.83,KUNDAH-I HPS,,,60.00,216.00,15.00,23.72,KUNDAH-I HPS,,,60.00,216.00,17.00,28.13,KUNDAH-I HPS,,,60.00,242.00,20.00,25.06,KUNDAH-I HPS,,,60.00,242.00,20.00,20.91,KUNDAH-I HPS,,,60.00,242.00,24.00,22.65,KUNDAH-I HPS,,,60.00,242.00,25.00,17.30,KUNDAH-I HPS,,,60.00,242.00,19.00,21.11,KUNDAH-I HPS,,,60.00,242.00,21.00,20.26,KUNDAH-I HPS,,,60.00,242.00,20.00,23.78,KUNDAH-I HPS,,,60.00,242.00,20.00,15.24,KUNDAH-I HPS,,,60.00,242.00,20.00,19.78,720.00,2826.00,169.00,330.03
KUNDAH-II HPS,,,175.00,500.00,30.00,65.83,KUNDAH-II HPS,,,175.00,500.00,41.00,55.88,KUNDAH-II HPS,,,175.00,500.00,33.00,66.34,KUNDAH-II HPS,,,175.00,562.00,47.00,59.01,KUNDAH-II HPS,,,175.00,562.00,46.00,52.71,KUNDAH-II HPS,,,175.00,562.00,51.00,62.50,KUNDAH-II HPS,,,175.00,562.00,46.00,62.14,KUNDAH-II HPS,,,175.00,562.00,55.00,60.16,KUNDAH-II HPS,,,175.00,562.00,55.00,55.57,KUNDAH-II HPS,,,175.00,562.00,51.00,66.52,KUNDAH-II HPS,,,175.00,562.00,47.00,56.73,KUNDAH-II HPS,,,175.00,562.00,47.00,59.41,2100.00,6558.00,398.00,873.74
KUNDAH-III HPS,,,180.00,335.00,23.00,42.40,KUNDAH-III HPS,,,180.00,335.00,25.00,33.78,KUNDAH-III HPS,,,180.00,335.00,23.00,39.88,KUNDAH-III HPS,,,180.00,378.00,33.00,35.06,KUNDAH-III HPS,,,180.00,378.00,32.00,33.83,KUNDAH-III HPS,,,180.00,378.00,35.00,37.86,KUNDAH-III HPS,,,180.00,378.00,27.00,37.81,KUNDAH-III HPS,,,180.00,378.00,38.00,36.46,KUNDAH-III HPS,,,180.00,378.00,33.00,33.37,KUNDAH-III HPS,,,180.00,378.00,33.00,42.77,KUNDAH-III HPS,,,180.00,378.00,37.00,39.78,KUNDAH-III HPS,,,180.00,378.00,30.00,40.10,2160.00,4407.00,265.00,566.98
KUNDAH-IV HPS,,,100.00,140.00,11.00,10.42,KUNDAH-IV HPS,,,100.00,140.00,11.00,4.56,KUNDAH-IV HPS,,,100.00,140.00,9.00,4.82,KUNDAH-IV HPS,,,100.00,158.00,11.00,4.49,KUNDAH-IV HPS,,,100.00,158.00,14.00,10.47,KUNDAH-IV HPS,,,100.00,158.00,15.00,19.73,KUNDAH-IV HPS,,,100.00,158.00,10.00,27.96,KUNDAH-IV HPS,,,100.00,158.00,15.00,15.11,KUNDAH-IV HPS,,,100.00,158.00,16.00,17.80,KUNDAH-IV HPS,,,100.00,158.00,17.00,29.88,KUNDAH-IV HPS,,,100.00,158.00,14.00,25.06,KUNDAH-IV HPS,,,100.00,158.00,12.00,14.41,1200.00,1842.00,113.00,273.42
KUNDAH-V HPS,,,40.00,40.00,2.00,0.00,KUNDAH-V HPS,,,40.00,40.00,3.00,0.00,KUNDAH-V HPS,,,40.00,40.00,3.00,0.00,KUNDAH-V HPS,,,40.00,65.00,3.00,0.00,KUNDAH-V HPS,,,40.00,65.00,3.00,0.00,KUNDAH-V HPS,,,40.00,65.00,3.00,0.00,KUNDAH-V HPS,,,40.00,65.00,6.00,0.13,KUNDAH-V HPS,,,40.00,65.00,5.00,2.29,KUNDAH-V HPS,,,40.00,65.00,5.00,3.52,KUNDAH-V HPS,,,40.00,65.00,5.00,7.66,KUNDAH-V HPS,,,40.00,65.00,5.00,4.89,KUNDAH-V HPS,,,40.00,65.00,22.00,5.61,480.00,705.00,54.00,78.10
LOWER METTUR-I HPS,,,30.00,50.00,5.00,1.28,LOWER METTUR-I HPS,,,30.00,50.00,1.00,2.05,LOWER METTUR-I HPS,,,30.00,50.00,1.00,2.27,LOWER METTUR-I HPS,,,30.00,64.00,2.00,1.03,LOWER METTUR-I HPS,,,30.00,64.00,2.00,0.91,LOWER METTUR-I HPS,,,30.00,64.00,2.00,6.32,LOWER METTUR-I HPS,,,30.00,64.00,2.00,12.04,LOWER METTUR-I HPS,,,30.00,64.00,7.00,13.38,LOWER METTUR-I HPS,,,30.00,64.00,14.00,11.12,LOWER METTUR-I HPS,,,30.00,64.00,12.00,1.87,LOWER METTUR-I HPS,,,30.00,64.00,3.00,6.72,LOWER METTUR-I HPS,,,30.00,64.00,10.00,13.64,360.00,726.00,52.00,118.00
LOWER METTUR-II HPS,,,30.00,45.00,4.00,1.20,LOWER METTUR-II HPS,,,30.00,45.00,1.00,1.95,LOWER METTUR-II HPS,,,30.00,45.00,1.00,2.23,LOWER METTUR-II HPS,,,30.00,55.00,2.00,1.15,LOWER METTUR-II HPS,,,30.00,55.00,2.00,0.68,LOWER METTUR-II HPS,,,30.00,55.00,2.00,6.32,LOWER METTUR-II HPS,,,30.00,55.00,2.00,11.67,LOWER METTUR-II HPS,,,30.00,55.00,9.00,13.64,LOWER METTUR-II HPS,,,30.00,55.00,9.00,11.62,LOWER METTUR-II HPS,,,30.00,55.00,9.00,1.87,LOWER METTUR-II HPS,,,30.00,55.00,3.00,5.68,LOWER METTUR-II HPS,,,30.00,55.00,8.00,13.28,360.00,630.00,44.00,108.76
LOWER METTUR-III HPS,,,30.00,56.00,6.00,1.17,LOWER METTUR-III HPS,,,30.00,56.00,1.00,1.97,LOWER METTUR-III HPS,,,30.00,56.00,1.00,2.11,LOWER METTUR-III HPS,,,30.00,68.00,3.00,0.82,LOWER METTUR-III HPS,,,30.00,68.00,2.00,1.27,LOWER METTUR-III HPS,,,30.00,68.00,2.00,6.63,LOWER METTUR-III HPS,,,30.00,68.00,2.00,11.66,LOWER METTUR-III HPS,,,30.00,68.00,7.00,13.42,LOWER METTUR-III HPS,,,30.00,68.00,14.00,10.75,LOWER METTUR-III HPS,,,30.00,68.00,12.00,1.88,LOWER METTUR-III HPS,,,30.00,68.00,3.00,4.83,LOWER METTUR-III HPS,,,30.00,68.00,12.00,12.15,360.00,780.00,54.00,116.59
LOWER METTUR-IV HPS,,,30.00,44.00,5.00,1.10,LOWER METTUR-IV HPS,,,30.00,44.00,1.00,1.58,LOWER METTUR-IV HPS,,,30.00,44.00,1.00,1.47,LOWER METTUR-IV HPS,,,30.00,58.00,1.00,0.32,LOWER METTUR-IV HPS,,,30.00,58.00,2.00,1.01,LOWER METTUR-IV HPS,,,30.00,58.00,2.00,5.26,LOWER METTUR-IV HPS,,,30.00,58.00,2.00,9.30,LOWER METTUR-IV HPS,,,30.00,58.00,6.00,11.48,LOWER METTUR-IV HPS,,,30.00,58.00,12.00,9.51,LOWER METTUR-IV HPS,,,30.00,58.00,10.00,1.96,LOWER METTUR-IV HPS,,,30.00,58.00,2.00,4.24,LOWER METTUR-IV HPS,,,30.00,58.00,10.00,10.04,360.00,654.00,46.00,98.80
METTUR DAM HPS,,,50.00,110.00,8.00,6.63,METTUR DAM HPS,,,50.00,110.00,4.00,10.73,METTUR DAM HPS,,,50.00,110.00,5.00,11.56,METTUR DAM HPS,,,50.00,110.00,5.00,8.05,METTUR DAM HPS,,,50.00,110.00,5.00,10.04,METTUR DAM HPS,,,50.00,110.00,3.00,13.02,METTUR DAM HPS,,,50.00,110.00,4.00,8.69,METTUR DAM HPS,,,50.00,110.00,12.00,10.31,METTUR DAM HPS,,,50.00,110.00,28.00,12.12,METTUR DAM HPS,,,50.00,110.00,17.00,2.27,METTUR DAM HPS,,,50.00,110.00,7.00,23.16,METTUR DAM HPS,,,50.00,110.00,12.00,20.89,600.00,1320.00,88.00,188.50
