"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,JAN-2021,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,FEB-2021,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,MAR-2021,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,APR-2021,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"SUM Monitored
Capacity
(MW)",SUM Target,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAY-2021,,,,,,,JUN-2021,,,,,,,JUL-2021,,,,,,,AUG-2021,,,,,,,SEP-2021,,,,,,,OCT-2021,,,,,,,NOV-2021,,,,,,,DEC-2021,,,,SUM 2021,
,,,,,PROGRAM,ACTUAL,,,,,,PROGRAM,ACTUAL,,,,,,PROGRAM,ACTUAL,,,,,,PROGRAM,ACTUAL,,,,,,PROGRAM,ACTUAL,,,,,,PROGRAM,ACTUAL,,,,,,PROGRAM,ACTUAL,,,,,,PROGRAM,ACTUAL,,,,,,PROGRAM,ACTUAL,,,,,,PROGRAM,ACTUAL,,,,,,PROGRAM,ACTUAL,,,,,,PROGRAM,ACTUAL,,,SUM PROGRAM,SUM ACTUAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,2,3,4,,,,1,2,3,4,,,,1,2,3,4,,,,1,2,3,4,,,,1,2,3,4,,,,1,2,3,4,,,,1,2,3,4,,,,1,2,3,4,,,,1,2,3,4,,,,1,2,3,4,,,,1,2,3,4,,,,1,2,3,4,1,2,3,4
TAMIL NADU,,,,,,,TAMIL NADU,,,,,,,TAMIL NADU,,,,,,,TAMIL NADU,,,,,,,TAMIL NADU,,,,,,,TAMIL NADU,,,,,,,TAMIL NADU,,,,,,,TAMIL NADU,,,,,,,TAMIL NADU,,,,,,,TAMIL NADU,,,,,,,TAMIL NADU,,,,,,,TAMIL NADU,,,,,,,,,,
STATE SECTOR,,,,,,,STATE SECTOR,,,,,,,STATE SECTOR,,,,,,,STATE SECTOR,,,,,,,STATE SECTOR,,,,,,,STATE SECTOR,,,,,,,STATE SECTOR,,,,,,,STATE SECTOR,,,,,,,STATE SECTOR,,,,,,,STATE SECTOR,,,,,,,STATE SECTOR,,,,,,,STATE SECTOR,,,,,,,,,,
METTUR TPS,,,840.00,5500.00,436.00,306.27,METTUR TPS,,,840.00,5500.00,487.00,353.12,METTUR TPS,,,840.00,5500.00,464.00,507.74,METTUR TPS,,,840.00,5500.00,482.00,555.59,METTUR TPS,,,840.00,5500.00,498.00,306.35,METTUR TPS,,,840.00,5500.00,362.00,1.71,METTUR TPS,,,840.00,5500.00,388.00,366.75,METTUR TPS,,,840.00,5500.00,425.00,551.70,METTUR TPS,,,840.00,5500.00,482.00,520.44,METTUR TPS,,,840.00,5500.00,498.00,496.65,METTUR TPS,,,840.00,5500.00,482.00,344.34,METTUR TPS,,,840.00,5500.00,498.00,247.21,10080.00,66000.00,3633.00,6468.15
METTUR TPS - II,,,600.00,3500.00,318.00,0.00,METTUR TPS - II,,,600.00,3500.00,322.00,63.03,METTUR TPS - II,,,600.00,3500.00,310.00,338.64,METTUR TPS - II,,,600.00,3500.00,313.00,237.24,METTUR TPS - II,,,600.00,3500.00,324.00,313.62,METTUR TPS - II,,,600.00,3500.00,313.00,365.81,METTUR TPS - II,,,600.00,3500.00,324.00,253.16,METTUR TPS - II,,,600.00,3500.00,73.00,251.08,METTUR TPS - II,,,600.00,3500.00,251.00,17.83,METTUR TPS - II,,,600.00,3500.00,324.00,268.40,METTUR TPS - II,,,600.00,3500.00,313.00,108.19,METTUR TPS - II,,,600.00,3500.00,324.00,261.92,7200.00,42000.00,2246.00,4086.01
NORTH CHENNAI TPS,,,1830.00,11700.00,1248.00,533.59,NORTH CHENNAI TPS,,,1830.00,11700.00,1016.00,637.03,NORTH CHENNAI TPS,,,1830.00,11700.00,985.00,715.58,NORTH CHENNAI TPS,,,1830.00,12970.00,1170.00,649.77,NORTH CHENNAI TPS,,,1830.00,12970.00,1211.00,351.37,NORTH CHENNAI TPS,,,1830.00,12970.00,1170.00,626.40,NORTH CHENNAI TPS,,,1830.00,12970.00,958.00,701.29,NORTH CHENNAI TPS,,,1830.00,12970.00,886.00,747.97,NORTH CHENNAI TPS,,,1830.00,12970.00,1145.00,454.29,NORTH CHENNAI TPS,,,1830.00,12970.00,1211.00,760.04,NORTH CHENNAI TPS,,,1830.00,12970.00,835.00,681.81,NORTH CHENNAI TPS,,,1830.00,12970.00,875.00,667.66,21960.00,151830.00,8291.00,13281.83
TUTICORIN TPS,,,1050.00,5400.00,478.00,335.12,TUTICORIN TPS,,,1050.00,5400.00,493.00,238.17,TUTICORIN TPS,,,1050.00,5400.00,483.00,383.02,TUTICORIN TPS,,,1050.00,5400.00,484.00,371.27,TUTICORIN TPS,,,1050.00,5400.00,499.00,275.35,TUTICORIN TPS,,,1050.00,5400.00,322.00,391.55,TUTICORIN TPS,,,1050.00,5400.00,350.00,233.01,TUTICORIN TPS,,,1050.00,5400.00,396.00,540.32,TUTICORIN TPS,,,1050.00,5400.00,476.00,472.71,TUTICORIN TPS,,,1050.00,5400.00,497.00,538.12,TUTICORIN TPS,,,1050.00,5400.00,482.00,369.17,TUTICORIN TPS,,,1050.00,5400.00,471.00,495.84,12600.00,64800.00,3493.00,6809.07
TANGEDCO,COAL,,4320.00,26100.00,2480.00,1174.98,TANGEDCO,COAL,,4320.00,26100.00,2318.00,1291.35,TANGEDCO,COAL,,4320.00,26100.00,2242.00,1944.98,TANGEDCO,COAL,,4320.00,27370.00,2449.00,1813.87,TANGEDCO,COAL,,4320.00,27370.00,2532.00,1246.69,TANGEDCO,COAL,,4320.00,27370.00,2167.00,1385.47,TANGEDCO,COAL,,4320.00,27370.00,2020.00,1554.21,TANGEDCO,COAL,,4320.00,27370.00,1780.00,2091.07,TANGEDCO,COAL,,4320.00,27370.00,2354.00,1465.27,TANGEDCO,COAL,,4320.00,27370.00,2530.00,2063.21,TANGEDCO,COAL,,4320.00,27370.00,2112.00,1503.51,TANGEDCO,COAL,,4320.00,27370.00,2168.00,1672.63,51840.00,324630.00,17663.00,30645.06
