Category,Consumption(M.U.),Percentage of Consumption
Industries (including Traction),28790,37.47
Agriculture,12406,16.15
Domestic,21990,28.62
Commercial,8394,10.93
Public Lighting & Water works,2110,2.75
Miscellaneous ,3138,4.08
TOTAL,76828,100
