Requirement(MU/DAY),Energy_met(MU/DAY),Surplus(+)/Deficit(-)(MU/DAY),Requirement(MU),Energy_met(MU),Surplus(+)/Deficit(-)(MU),%Shortage(MU),Requirement(MW),Peak_Demand_Met5(MW),Surplus(+)/Deficit(-)(MW),%Shortage(MW),name_report,year,month,date_published,month_published,year_published
312.0,312.0,-0.1,9368.0,9366.0,-2.0,0.0,16040.0,16040.0,0.0,0.0,Monthly_Report_Jun_2021,2021,6,2021-07-23,7,2021
326.0,326.0,-0.1,9781.0,9779.0,-2.0,0.0,16846.0,16846.0,0.0,0.0,Monthly_Report_April_2021.pdf,2021,4,2021-05-23,5,2021
306.0,306.0,0.0,9476.0,9477.0,1.0,0.0,16481.0,16481.0,0.0,0.0,Monthly_Report_March_2021,2021,3,2021-04-23,4,2021
254.0,254.0,0.0,7886.0,7887.0,1.0,0.0,14163.0,14163.0,0.0,0.0,Monthly_Report_January_2021,2021,1,2021-02-23,2,2021
266.0,266.0,0.0,7982.0,7984.0,1.0,0.0,15298.0,15298.0,0.0,0.0,Monthly_Report_November_2020,2020,11,2020-12-23,12,2020
281.0,281.0,0.0,8435.0,8435.0,0.0,0.0,14836.0,14836.0,0.0,0.0,Monthly_Report_September_2020,2020,9,2020-10-23,10,2020
270.0,269.0,0.0,8355.0,8354.0,-1.0,0.0,13589.0,13589.0,0.0,0.0,Monthly_Report_July_2020,2020,7,2020-08-24,8,2020
290.0,290.0,0.1,8985.0,8988.0,3.0,0.0,14343.0,14343.0,0.0,0.0,Monthly_Report_May_2020,2020,5,2020-06-22,6,2020
299.0,299.0,0.0,8368.0,8367.0,-1.0,0.0,15298.0,15298.0,0.0,0.0,Monthly_Report_February_2021,2021,2,2021-03-23,3,2021
259.0,259.0,0.1,8033.0,8035.0,2.0,0.0,14238.0,14238.0,0.0,0.0,Monthly_Report_December_2020,2020,12,2021-01-23,1,2021
296.0,296.0,0.0,9183.0,9185.0,1.0,0.0,14564.0,14564.0,0.0,0.0,Monthly_Report_October_2020,2020,10,2020-11-23,11,2020
281.0,281.0,-0.1,8698.0,8696.0,-2.0,0.0,14491.0,14491.0,0.0,0.0,Monthly_Report_August_2020,2020,8,2020-09-23,9,2020
300.0,300.0,0.1,9000.0,9003.0,2.0,0.0,14855.0,14814.0,-42.0,-0.3,Monthly_Report_Jun_2020,2020,6,2020-07-21,7,2020
243.0,243.0,0.1,7287.0,7289.0,3.0,0.0,11577.0,11498.0,-79.0,-0.7,Monthly_Report_Apr_2020,2020,4,2020-05-23,5,2020
309.0,309.0,0.1,9583.0,9586.0,3.0,0.0,15591.0,15591.0,0.0,0.0,Monthly_Report_Mar_2020,2020,3,2020-04-23,4,2020
312.0,312.0,0.1,9052.0,9054.0,3.0,0.0,15128.0,15128.0,0.0,0.0,Monthly_Report_Feb_2020,2020,2,2020-03-23,3,2020
266.0,253.0,-13.4,8246.0,7831.0,-415.0,-5.0,13978.0,13978.0,0.0,0.0,Monthly_Report_Dec_2019,2019,12,2020-01-23,1,2020
272.0,272.0,0.1,8424.0,8427.0,3.0,0.0,14701.0,14701.0,0.0,0.0,Monthly_Report_Oct_2019,2019,10,2019-11-22,11,2019
296.0,296.0,-0.1,9171.0,9169.0,-2.0,0.0,16386.0,16386.0,0.0,0.0,Monthly_Report_Aug_2019,2019,8,2019-09-23,9,2019
335.0,335.0,-0.2,10051.0,10046.0,-5.0,0.0,14419.0,14411.0,-8.0,-0.1,Monthly_Report_Jun_2019,2019,6,2019-07-22,7,2019
344.0,344.0,0.0,10308.0,10308.0,0.0,0.0,16386.0,16386.0,0.0,0.0,Monthly_Report_April_2019,2019,4,2019-05-23,5,2019
276.0,276.0,0.1,8544.0,8547.0,3.0,0.0,14719.0,14719.0,0.0,0.0,Monthly_Report_Jan_2020,2020,1,2020-02-23,2,2020
275.0,275.0,0.1,8246.0,8249.0,3.0,0.0,14213.0,14213.0,0.0,0.0,Monthly_Report_Nov_2019,2019,11,2019-12-23,12,2019
288.0,288.0,0.1,8633.0,8636.0,3.0,0.0,15133.0,15133.0,0.0,0.0,Monthly_Report_Sep_2019,2019,9,2019-10-23,10,2019
317.0,317.0,-0.1,9841.0,9838.0,-3.0,0.0,14104.0,14103.0,-1.0,0.0,Monthly_Report_Jul_2019,2019,7,2019-08-23,8,2019
342.0,342.0,0.0,10612.0,10611.0,-1.0,0.0,16014.0,15952.0,-63.0,-0.4,Monthly_Report_May_2019,2019,5,2019-06-23,6,2019
340.0,340.0,-0.1,10548.0,10546.0,-2.0,0.0,16129.0,16129.0,0.0,0.0,Monthly_Report_March_2019,2019,3,2019-04-23,4,2019
280.0,280.0,0.1,8681.0,8684.0,3.0,0.0,14971.0,14946.0,-25.0,-0.2,Monthly Report January 2019,2019,1,2019-02-22,2,2019
266.0,265.0,-0.3,7971.0,7963.0,-8.0,-0.1,14971.0,14946.0,-25.0,-0.2,Monthly Report November 2018,2018,11,2018-12-21,12,2018
314.3,314.0,-0.3,9430.4,9421.0,-9.4,-0.1,14971.0,14946.0,-25.0,-0.2,Monthly Report September 2018,2018,9,2018-10-23,10,2018
310.3,310.1,-0.2,9619.7,9613.4,-6.3,-0.1,15139.0,15061.0,-78.0,-0.5,Monthly Report July 2018,2018,7,2018-08-23,8,2018
318.3,318.0,-0.3,9868.3,9858.7,-9.6,-0.1,15251.0,15193.0,-58.0,-0.4,Monthly Report March 2018,2018,3,2018-04-23,4,2018
278.1,277.9,-0.2,8620.9,8613.9,-6.9,-0.1,14406.0,14373.0,-33.0,-0.2,Monthly Report January 2018,2018,1,2018-02-23,2,2018
269.5,269.2,-0.3,8085.2,8076.0,-9.2,-0.1,14561.0,14561.0,0.0,0.0,Monthly Report November 2017,2017,11,2017-12-22,12,2017
276.2,276.0,-0.2,8286.0,8278.5,-7.4,-0.1,14037.0,14033.0,-4.0,0.0,Monthly Report September 2017,2017,9,2017-10-23,10,2017
303.4,303.3,0.0,9404.4,9403.0,-1.5,0.0,14922.0,14918.0,-4.0,0.0,Monthly Report July 2017,2017,7,2017-08-23,8,2017
312.5,312.4,-0.1,9687.4,9684.9,-2.5,0.0,15072.0,15035.0,-37.0,-0.2,Monthly Report May 2017,2017,5,2017-06-23,6,2017
295.1,294.9,-0.2,8263.1,8257.0,-6.1,-0.1,14685.0,14681.0,-4.0,0.0,Monthly Report February 2018,2018,2,2018-03-23,3,2018
275.3,275.0,-0.2,8532.8,8526.3,-6.5,-0.1,13890.0,13890.0,0.0,0.0,Monthly Report December 2017,2017,12,2018-01-23,1,2018
279.1,279.0,-0.1,8653.0,8650.4,-2.6,0.0,13956.0,13956.0,0.0,0.0,Monthly Report August 2017,2017,8,2017-09-21,9,2017
318.0,317.8,-0.1,9539.0,9535.4,-3.6,0.0,15196.0,15196.0,0.0,0.0,Monthly Report April 2017,2017,4,2017-05-25,5,2017
270.8,270.5,-0.3,8394.9,8385.8,-9.1,-0.1,13716.0,13716.0,0.0,0.0,Monthly Report October 2017,2017,10,2017-11-22,11,2017
305.7,305.7,0.0,9171.0,9170.5,-0.5,0.0,14830.0,14776.0,-54.0,-0.4,Monthly Report June 2017,2017,6,2017-07-21,7,2017
303.1,303.0,-0.1,9396.1,9392.7,-3.4,0.0,14613.0,14584.0,-29.0,-0.2,Monthly Report March 2017,2017,3,2017-04-21,4,2017
267.3,267.3,0.0,8286.6,8287.4,0.8,0.0,14012.0,14008.0,-4.0,0.0,Monthly Report January 2017,2017,1,2017-02-23,2,2017
281.9,281.9,0.0,7893.4,7893.6,0.2,0.0,14000.0,13954.0,-45.0,-0.3,Monthly Report February 2017,2017,2,2017-03-23,3,2017
259.2,259.1,-0.1,8035.8,8032.4,-3.4,0.0,13584.0,13584.0,0.0,0.0,Monthly Report December 2016,2016,12,2017-01-23,1,2017
296.2,296.1,-0.1,8885.9,8883.0,-2.9,0.0,14163.0,14163.0,0.0,0.0,Monthly Report November 2016,2016,11,2016-12-23,12,2016
302.2,302.2,0.0,9067.2,9066.5,-0.7,0.0,14597.0,14568.0,-29.0,-0.2,Monthly Report September 2016,2016,9,2016-10-24,10,2016
290.5,290.5,0.0,9006.6,9006.6,0.0,0.0,14723.0,14686.0,-37.0,-0.3,Monthly Report July 2016,2016,7,2016-08-22,8,2016
299.8,299.8,0.0,9292.9,9294.1,1.2,0.0,15023.0,15015.0,-8.0,-0.1,Monthly Report May 2016,2016,5,2016-06-23,6,2016
292.3,292.2,0.0,9060.4,9059.1,-1.3,0.0,14688.0,14688.0,0.0,0.0,Monthly Report October 2016,2016,10,2016-11-23,11,2016
297.0,297.0,0.0,9207.2,9207.2,0.0,0.0,14431.0,14427.0,-4.0,0.0,Monthly Report August 2016,2016,8,2016-09-23,9,2016
291.5,291.4,-0.1,8744.5,8742.8,-1.7,0.0,14640.0,14640.0,0.0,0.0,Monthly Report June 2016,2016,6,2016-07-22,7,2016
328.2,328.1,-0.2,9847.4,9842.3,-5.1,-0.1,15107.0,15107.0,0.0,0.0,Monthly Report April 2016,2016,4,2016-05-23,5,2016
275.3,275.2,-0.1,8535.4,8531.1,-4.2,0.0,13757.0,13658.0,-99.0,-0.7,Monthly Report August 2015_R1,2015,8,2017-01-18,1,2017
288.8,287.1,-1.7,8952.7,8901.3,-51.4,-0.6,14615.0,13766.0,-849.0,-5.8,Monthly Report July 2015,2015,7,2016-07-13,7,2016
278.7,270.4,-8.3,8361.0,8111.7,-249.2,-3.0,12969.0,12727.0,-241.0,-1.9,Monthly Report April 2015,2015,4,2016-07-13,7,2016
312.5,312.5,-0.1,9688.1,9686.3,-1.8,0.0,14567.0,14534.0,-33.0,-0.2,Monthly Report March 2016,2016,3,2016-04-22,4,2016
289.2,289.2,0.0,8385.7,8386.7,1.0,0.0,14537.0,14533.0,-4.0,0.0,Monthly Report February 2016,2016,2,2016-03-23,3,2016
268.7,268.5,-0.2,8330.5,8324.2,-6.2,-0.1,13307.0,13307.0,0.0,0.0,Monthly Report October 2015,2015,10,2016-02-20,2,2016
283.3,279.1,-4.2,8498.0,8372.8,-125.2,-1.5,13833.0,13754.0,-78.0,-0.6,Monthly Report September 2015,2015,9,2015-10-23,10,2015
276.7,275.2,-1.5,8301.9,8256.7,-45.2,-0.5,13278.0,13278.0,0.0,0.0,Monthly Report June 2015,2015,6,2015-07-23,7,2015
270.4,263.4,-7.0,8381.5,8164.8,-216.7,-2.6,13295.0,13038.0,-258.0,-1.9,Monthly Report May 2015,2015,5,2015-07-23,7,2015
262.9,262.9,0.0,8151.3,8150.4,-0.9,0.0,13576.0,13576.0,0.0,0.0,Monthly Report January 2016,2016,1,2016-12-04,12,2016
217.0,216.9,-0.1,6511.1,6508.3,-2.9,0.0,12481.0,12481.0,0.0,0.0,Monthly Report November 2015,2015,11,2016-12-04,12,2016
231.6,231.4,-0.2,7181.0,7174.1,-6.9,-0.1,12684.0,12680.0,-4.0,0.0,Monthly Report December 2015,2015,12,2016-02-20,2,2016
289.3,279.6,-9.7,8969.0,8668.0,-301.0,-3.4,13695.0,13051.0,-644.0,-4.7,Monthly Report March 2015,2015,3,2015-01-05,1,2015
273.9,265.9,-8.0,7669.1,7444.1,-225.0,-2.9,12813.0,12642.0,-171.0,-1.3,Monthly Report February 2015,2015,2,2015-03-23,3,2015
255.3,246.7,-8.5,7913.0,7649.0,-264.0,-3.3,12901.0,12149.0,-752.0,-5.8,Monthly Report January 2015,2015,1,2015-02-26,2,2015
242.9,232.6,-10.3,7531.0,7212.0,-319.0,-4.2,12121.0,11638.0,-483.0,-4.0,Monthly Report December 2014,2014,12,2015-01-23,1,2015
268.8,264.1,-4.8,8065.0,7922.0,-147.8,-1.8,11411.0,13771.0,2360.0,20.7,Monthly Report November 2014,2014,11,2014-12-23,12,2014
269.4,264.1,-5.3,8081.0,7922.0,-164.3,-2.0,13204.0,13200.0,-4.0,0.0,Monthly Report September 2014,2014,9,2014-10-22,10,2014
260.6,258.5,-2.0,8078.1,8014.6,-63.5,-0.8,13024.4,12884.4,-140.0,-1.1,Monthly Report August 2014,2014,8,2014-09-26,9,2014
285.0,284.0,-1.0,8557.0,8532.0,-25.0,0.0,13298.0,13293.0,-4.0,0.0,Monthly Report July 2014,2014,7,2014-08-27,8,2014
296.0,274.0,-22.0,8881.0,8218.0,-663.0,-7.5,12766.0,12747.0,-19.0,-0.1,Monthly Report April 2014,2014,4,2014-07-21,7,2014
242.8,232.6,-10.2,7528.0,7212.0,-316.0,-4.2,12519.0,11800.0,-719.0,-5.7,Monthly Report October 2014,2014,10,2014-11-22,11,2014
283.0,280.0,-2.0,8479.0,8412.0,-67.0,-0.8,13804.0,13771.0,-33.0,-0.2,Monthly Report June 2014,2014,6,2014-07-24,7,2014
275.0,265.0,-10.0,8518.0,8208.0,-300.0,-3.6,13186.0,12991.0,-195.0,-1.5,Monthly Report May 2014,2014,5,2014-07-21,7,2014
279.0,264.0,-15.0,8640.0,8190.0,-450.0,-5.2,12969.0,12650.0,-319.0,-2.5,Monthly Report March 2014,2014,3,2014-07-21,7,2014
266.0,254.0,-12.0,7446.0,7116.0,-330.0,-4.4,12581.0,12037.0,-544.0,-4.3,Monthly Report February 2014,2014,2,2014-07-21,7,2014
252.0,247.0,-6.0,7821.0,7645.0,-176.0,-2.3,13475.0,12799.0,-676.0,-5.0,Monthly Report January 2014,2014,1,2014-07-21,7,2014
248.0,235.0,-13.0,7692.0,7282.0,-410.0,-5.3,12096.0,11863.0,-233.0,-1.9,Monthly Report December 2013,2013,12,2014-01-22,1,2014
240.0,215.0,-25.0,7203.0,6439.0,-764.0,-10.6,11095.0,11017.0,-78.0,-0.7,Monthly Report November 2013,2013,11,2013-12-19,12,2013
252.0,245.0,-7.0,7811.0,7587.0,-224.0,-2.9,12810.0,12118.0,-692.0,-5.4,Monthly Report October 2013,2013,10,2013-11-19,11,2013
247.0,240.0,-8.0,7672.0,7430.0,-242.0,-3.2,12260.0,12092.0,-168.0,-1.4,Monthly Report August 2013,2013,8,2013-09-19,9,2013
248.0,244.0,-4.0,7436.0,7306.0,-130.0,-1.7,12425.0,12218.0,-207.0,-1.7,Monthly Report September 2013,2013,9,2013-10-18,10,2013
257.0,250.0,-7.0,7952.0,7736.0,-216.0,-3.0,12094.0,11794.0,-300.0,-2.5,Monthly Report July 2013,2013,7,2013-08-22,8,2013
259.0,249.0,-10.0,7755.0,7466.0,-289.0,-4.0,12469.0,11854.0,-615.0,-5.0,Monthly Report June 2013,2013,6,2013-07-23,7,2013
275.0,247.0,-29.0,8528.0,7643.0,-885.0,-10.0,12128.0,12035.0,-93.0,-1.0,Monthly Report May 2013,2013,5,2013-06-22,6,2013
272.0,226.0,-46.0,8435.0,7006.0,-1429.0,-17.0,12249.0,11641.0,-608.0,-5.0,Monthly Report April 2013,2013,4,2013-05-24,5,2013
268.0,216.0,-52.0,8299.0,6699.0,-1600.0,-19.0,12665.0,10783.0,-1882.0,-15.0,Monthly Report March 2013,2013,3,2014-07-21,7,2014
258.0,212.0,-46.0,7233.0,5943.0,-1290.0,-18.0,11222.0,10258.0,-964.0,-9.0,February 2013 Monthly Report,2013,2,2014-07-21,7,2014
253.0,214.0,-38.0,7840.0,6648.0,-1192.0,-15.0,11609.0,9942.0,-1667.0,-14.0,January 2013 Monthly Report,2013,1,2014-07-21,7,2014
257.0,235.0,-23.0,7981.0,7272.0,-709.0,-9.0,11863.0,11105.0,-758.0,-6.0,July 2012 Monthly Report,2012,7,2014-07-21,7,2014
260.0,200.0,-60.0,8047.0,6187.0,-1860.0,-23.0,13370.0,9625.0,-3745.0,-28.0,Monthly Report Dec 2012,2012,12,2014-07-21,7,2014
232.0,177.0,-55.0,6949.0,5302.0,-1647.0,-24.0,10161.0,8518.0,-1643.0,-16.0,Monthly Report November 2012,2012,11,2014-07-21,7,2014
233.0,180.0,-53.0,7226.0,5568.0,-1658.0,-23.0,12753.0,10477.0,-2276.0,-18.0,Monthly Report October 2012,2012,10,2014-07-21,7,2014
254.0,208.0,-46.0,7612.0,6229.0,-1383.0,-18.0,11477.0,10534.0,-943.0,-8.0,September 2012 Monthly Report,2012,9,2014-07-21,7,2014
253.0,218.0,-35.0,7851.0,6773.0,-1078.0,-14.0,11914.0,10751.0,-1163.0,-10.0,August 2012 Monthly Report,2012,8,2014-07-21,7,2014
264.0,230.0,-35.0,7928.0,6893.0,-1035.0,-13.0,12548.0,11283.0,-1265.0,-10.0,June 2012 Monthly Report,2012,6,2014-07-21,7,2014
254.0,222.0,-32.0,7605.0,6649.0,-956.0,-13.0,10968.0,10491.0,-477.0,-4.0,May 2012 Monthly Report,2012,5,2014-07-21,7,2014
257.0,198.0,-59.0,7707.0,5940.0,-1767.0,-23.0,11661.0,10078.0,-1583.0,-14.0,Monthly Report April 2012,2012,4,2014-07-21,7,2014
307.4,306.9,-0.5,9528.5,9514.0,-14.5,-0.2,15192.0,15122.0,-70.0,-0.5,Monthly Report May 2018,2018,5,2018-06-22,6,2018
312.0,312.0,0.0,8746.0,8747.0,1.0,0.0,15562.0,15562.0,0.0,0.0,Monthly_report_February_2019,2019,2,2019-03-22,3,2019
284.0,284.0,-0.1,8807.0,8803.0,-4.0,0.0,14971.0,14946.0,-25.0,-0.2,Monthly Report December 2018,2018,12,2019-01-23,1,2019
285.0,284.8,-0.3,8835.9,8828.0,-7.9,-0.1,14971.0,14946.0,-25.0,-0.2,Monthly Report October 2018,2018,10,2018-11-22,11,2018
300.9,300.7,-0.2,9326.8,9320.9,-5.8,-0.1,15025.0,14984.0,-41.0,-0.3,Monthly Report August 2018,2018,8,2018-09-23,9,2018
315.7,315.5,-0.2,9471.3,9464.3,-7.0,-0.1,15191.0,15183.0,-8.0,-0.1,Monthly Report June 2018,2018,6,2018-07-23,7,2018
337.6,337.3,-0.3,10126.9,10118.4,-8.6,-0.1,15457.0,15411.0,-45.0,-0.3,Monthly Report April 2018,2018,4,2018-05-23,5,2018
