Requirement(MU/DAY),Energy_met(MU/DAY),Surplus(+)/Deficit(-)(MU/DAY),Requirement(MU),Energy_met(MU),Surplus(+)/Deficit(-)(MU),%Shortage(MU),Requirement(MW),Peak_Demand_Met5(MW),Surplus(+)/Deficit(-)(MW),%Shortage(MW),name_report,year,month,date_published,month_published,year_published
354.0,354.0,-0.9,10632.0,10605.0,-26.0,-0.2,17646.0,17563.0,-83.0,-0.5,Monthly_Report_Apr_2022,2022,4,2022-05-23,5,2022
337.0,337.0,0.0,10459.0,10458.0,-1.0,0.0,16906.0,16906.0,0.0,0.0,Monthly_Report_May_2022,2022,5,2022-06-23,6,2022
344.0,343.0,-0.3,10657.0,10648.0,-9.0,-0.1,17196.0,17196.0,0.0,0.0,Monthly_Report_Mar_2022,2022,3,2022-04-25,4,2022
286.0,286.0,0.0,8873.0,8873.0,1.0,0.0,15290.0,15290.0,0.0,0.0,Monthly_Report_Jan_2022,2022,1,2022-02-23,2,2022
245.0,245.0,0.0,7362.0,7360.0,-1.0,0.0,13501.0,13480.0,-21.0,-0.2,Monthly_Report_Nov_2021,2021,11,2021-12-23,12,2021
314.0,314.0,0.1,9431.0,9434.0,3.0,0.0,15927.0,15786.0,-141.0,-0.9,Monthly_Report_Sep_2021,2021,9,2021-10-23,10,2021
310.0,310.0,0.1,9599.0,9602.0,2.0,0.0,15579.0,15579.0,0.0,0.0,Monthly_Report_Jul_2021,2021,7,2021-08-23,8,2021
300.0,300.0,-0.1,9295.0,9293.0,-2.0,0.0,15957.0,15957.0,0.0,0.0,Monthly_Report_May_2021.pdf,2021,5,2021-06-23,6,2021
322.0,322.0,0.0,9028.0,9028.0,0.0,0.0,16262.0,16262.0,0.0,0.0,Monthly_Report_Feb_2022,2022,2,2022-03-23,3,2022
277.0,277.0,0.0,8590.0,8590.0,1.0,0.0,14501.0,14501.0,0.0,0.0,Monthly_Report_Dec_2021,2021,12,2022-01-24,1,2022
292.0,292.0,-0.2,9067.0,9062.0,-5.0,-0.1,14712.0,14675.0,-37.0,-0.3,Monthly_Report_Oct_2021,2021,10,2021-11-23,11,2021
323.0,323.0,-0.1,10010.0,10008.0,-2.0,0.0,16029.0,16029.0,0.0,0.0,Monthly_Report_Aug_2021,2021,8,2021-09-23,9,2021
