Type,Name,Net Generation(M.U),Year
Gas,Basin Bridge,79.16,2010
Gas,Kovil Kalappal,487.2,2010
Gas,Vazhuthur I & II,1008.89,2010
Gas,Kutralam,602.78,2010
Gas,Wind Mill,11.09,2010
Hydro,Pykara,63.92,2010
Hydro,Pykara Mini Hydel,9.61,2010
Hydro,PUSHEP,557.3,2010
Hydro,Moyar,210.97,2010
Hydro,Maravakandi Micro Hydel,1.21,2010
Hydro,Parsons valley,65.14,2010
Hydro,Kundah - 1,278.02,2010
Hydro,Kundah - 2,733.42,2010
Hydro,Kundah - 3,435.92,2010
Hydro,Kundah - 4,166.71,2010
Hydro,Kundah - 5,84.98,2010
Hydro,Mettur Dam,82.26,2010
Hydro,Mettur Tunnel,388.63,2010
Hydro,LMHEP - Barrage-1,80.07,2010
Hydro,LMHEP -Barrage-2,75.79,2010
Hydro,LMHEP - Barrage-3,76.44,2010
Hydro,LMHEP - Barrage-4,62.46,2010
Hydro,Bhavani Kattalai PH-1,74.5,2010
Hydro,Bhavanisagar RBC,26.75,2010
Hydro,Bhavani Sagar Small,36.63,2010
Hydro,Poonachi Micro,3.38,2010
Hydro,Sathanur Micro,6.51,2010
Hydro,Mukurthy Mini,2.18,2010
Hydro,Thirumoorthy Mini,3.13,2010
Hydro,Lower Aliyar,7.78,2010
Hydro,Amaravathy,10.16,2010
Hydro,Perunchani Mini,2.34,2010
Hydro,Periyar,394.75,2010
Hydro,Vaigai Small Hydel,10.37,2010
Hydro,Suruliyar,98.63,2010
Hydro,Papanasam,129.2,2010
Hydro,Servalar,26.05,2010
Hydro,Sarkarpathy,121.08,2010
Hydro,Aliyar,165.69,2010
Hydro,Kadamparai,496.72,2010
Hydro,Sholayar-1,287.04,2010
Hydro,Sholayar-2,63.52,2010
Hydro,Kodayar-1,195.91,2010
Hydro,Kodayar-2,83.17,2010
Thermal,Ennore TPS,1217.64,2010
Thermal,North Chennai TPS,4411.07,2010
Thermal,Thoothukudi TPS,6543.42,2010
Thermal,Mettur TPS,5868.25,2010
Gas,Basin Bridge,49.534,2011
Gas,Kovil Kalappal,605.037,2011
Gas,Vazhuthur ,529.853,2011
Gas,Vazhuthur phaseII,-2.601,2011
Gas,Kuttalam,158.79,2011
Gas,Wind Mill + Solar,1340.613,2011
Gas,TNEB,12.676,2011
Hydro,Pykara,28.661,2011
Hydro,Pykara Micro Hydel,5.467,2011
Hydro,PUSHEP,428.72,2011
Hydro,Moyar,154.911,2011
Hydro,Maravakandi Micro Hydel,1.982,2011
Hydro,Parsons valley,39.18,2011
Hydro,Kundah-1,255.092,2011
Hydro,Kundah-2,655.977,2011
Hydro,Kundah-3,387.923,2011
Hydro,Kundah-4,136.84,2011
Hydro,Kundah-5,60.416,2011
Hydro,Mettur Dam,94.637,2011
Hydro,Mettur Tunnel,265.371,2011
Hydro,LMHEP-Barrage-1,70.981,2011
Hydro,LMHEP-Barrage-2,65.978,2011
Hydro,LMHEP-Barrage-3,66.531,2011
Hydro,LMHEP-Barrage-4,56.162,2011
Hydro,Bhavani Kattalai PH-1,71.225,2011
Hydro,BhavanisagarRBC,20.709,2011
Hydro,Bhavani Sagar Micro Hydel,32.98,2011
Hydro,Poonachi Micro,4.496,2011
Hydro,Sathanur Micro,10.189,2011
Hydro,Mukurthy Mini,1.443,2011
Hydro,Thirumoorthy Micro,3.799,2011
Hydro,Lower Aliyar,8.533,2011
Hydro,Amaravathy,8.691,2011
