title_original,text_original,posted_on_original,date_of_power_shutdown
Power Shutdown areas in Chennai - Tuesday (05.07.2022), Power supply will be suspended in the following areas on Tuesday (05.07.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 04/Jul/2022 11:22:02 AM,07-05-2022
Power Shutdown areas in Chennai - Today (04.07.2022), Power supply will be suspended in the following areas on Monday (04.07.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 04/Jul/2022 7:36:07 AM,07-04-2022
Power Shutdown areas in Chennai - Saturday (02.07.2022), Power supply will be suspended in the following areas on Saturday (02.07.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 01/Jul/2022 8:45:31 AM,07-02-2022
Power Shutdown areas in Chennai - Friday (01.07.2022), Power supply will be suspended in the following areas on Friday (01.07.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 01/Jul/2022 8:38:58 AM,07-01-2022
Power Shutdown areas in Chennai - Thursday (30.06.2022)," Parts of Chennai will face a power shutdown from 9 am to 2 pm, with supply expected to resume before 2 pm if the work is completed.
",Posted On : 30/Jun/2022 8:10:28 AM,06-30-2022
Power Shutdown areas in Chennai - Wednesday (29.06.2022), Power supply will be suspended in the following areas on Wednesday (29.06.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 28/Jun/2022 3:47:10 PM,06-29-2022
Power Shutdown areas in Chennai - Tuesday (28.06.2022), Power  supply will be suspended in the following areas on Tuesday (28.06.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 27/Jun/2022 9:37:59 AM,06-28-2022
Power Shutdown areas in Chennai - Monday (27.06.2022), Power supply will be suspended in the following areas on Monday (27.06.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 26/Jun/2022 9:50:43 PM,06-27-2022
Power Shutdown areas in Chennai - Saturday (25.06.2022)," Power supply will be suspended in TAMBARAM, Guindy, PORUR, K.K.Nagar,
AVADI, PERAMBUR, ponneri Substation area as mentioned below the following areas on 25.06.2022 from 09.00 am to 02.00 pm for maintenance work.",Posted On : 25/Jun/2022 8:12:03 AM,06-25-2022
Power Shutdown areas in Chennai - Friday(24.06.2022), Power supply will be suspended in the following areas on Friday (24.06.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 23/Jun/2022 1:13:07 PM,06-24-2022
Power Shutdown areas in Chennai - Thursday (23.06.2022), Power supply will be suspended in the following areas on Thursday (23.06.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 22/Jun/2022 3:18:24 PM,06-23-2022
Power Shutdown areas in Chennai - Wednesday (22.06.2022), Power supply will be suspended in the following areas on Wednesday (22.06.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 21/Jun/2022 9:08:10 AM,06-22-2022
Power Shutdown areas in Chennai - Tuesday (21.06.2022), Power supply will be suspended in the following areas on Tuesday (21.06.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 21/Jun/2022 8:37:33 AM,06-21-2022
Power Shutdown areas in Chennai - Monday (20.06.2022), Power supply will be suspended in the following areas on Monday (20.06.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 20/Jun/2022 8:19:31 AM,06-20-2022
Power Shutdown areas in Chennai - Saturday (18.06.2022), Power supply will be suspended in the following areas on  Saturday (18.06.2022)  from 09.00 am to 02.00 pm for maintenance work.,Posted On : 18/Jun/2022 12:28:23 PM,06-18-2022
Power Shutdown areas in Chennai - Friday (17.06.2022), Power supply will be suspended in the following areas on  Friday (17.06.2022)  from 09.00 am to 02.00 pm for maintenance work.,Posted On : 15/Jun/2022 9:53:54 PM,06-17-2022
Power Shutdown areas in Chennai - Thursday (16.06.2022), Power supply will be suspended in the following areas on Thursday (16.06.2022)  from 09.00 am to 02.00 pm for maintenance work.,Posted On : 15/Jun/2022 9:51:09 PM,06-16-2022
Power Shutdown areas in Chennai - Wednesday (15.06.2022), Power supply will be suspended in the following areas on Wednesday (15.06.2022)  from 09.00 am to 02.00 pm for maintenance work.,Posted On : 14/Jun/2022 4:49:43 PM,06-15-2022
Power Shutdown areas in Chennai - Tuesday (14.06.2022), Power supply will be suspended in the following areas on Tuesday (14.06.2022)  from 09.00 am to 02.00 pm for maintenance work.,Posted On : 13/Jun/2022 9:26:11 AM,06-14-2022
Power Shutdown areas in Chennai - Monday (13.06.2022), Power supply will be suspended in the following areas on Monday (13.06.2022)  from 09.00 am to 02.00 pm for maintenance work.,Posted On : 13/Jun/2022 9:22:11 AM,06-13-2022
Power Shutdown areas in Chennai - Saturday (11.06.2022), Power supply will be suspended in the following areas on Saturday (11.06.2022)  from 09.00 am to 02.00 pm for maintenance work.,Posted On : 11/Jun/2022 9:36:52 AM,06-11-2022
Power Shutdown areas in Chennai - Friday (10.06.2022), Power supply will be suspended in the following areas on Friday (10.06.2022)  from 09.00 am to 02.00 pm for maintenance work.,Posted On : 09/Jun/2022 1:10:44 PM,06-10-2022
Power Shutdown areas in Chennai - Thursday (09.06.2022), Power supply will be suspended in the following areas on Thursday (09.06.2022)  from 09.00 am to 02.00 pm for maintenance work.,Posted On : 09/Jun/2022 1:01:33 PM,06-09-2022
Power Shutdown areas in Chennai - Today (07.06.2022), Power supply will be suspended in the following areas on Tuesday (07.06.2022)  from 09.00 am to 02.00 pm for maintenance work.,Posted On : 07/Jun/2022 10:50:52 AM,06-07-2022
Power Shutdown areas in Chennai - Wednesday (08.06.2022)," Power supply will be suspended in the following areas on Wednesday (08.06.2022)  from 09.00 am to 02.00 pm for maintenance work.
",Posted On : 06/Jun/2022 10:24:11 PM,06-08-2022
Power Shutdown areas in Chennai - Monday (06.05.2022)," Power supply will be suspended in the following areas on Monday (06.05.2022) from 09.00 am to 02.00 pm for maintenance work.
",Posted On : 05/Jun/2022 9:39:36 PM,05-06-2022
Prospects of power-cut again next month!! Coal stock very low!!!," An analytical review warns that as the stock of coal on hand before the onset of monsoon is very less,",Posted On : 30/May/2022 12:47:35 PM,n/a
"Chariot Festival in Thiruvallur today (Thursday, 12th May) - electric power cut!"," The chariot festival of the Lord Sri Vaidya Veeraraghava Perumal of the temple in Thiruvallur is scheduled to be celebrated today (Thursday, 12th May).",Posted On : 12/May/2022 10:57:41 AM,12
Power Shutdown areas in Chennai - Today (09.04.2022), Power supply will be suspended in the following areas on Saturday (09.04.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 09/Apr/2022 8:04:55 AM,04-09-2022
Power Shutdown areas in Chennai - Wednesday (06.04.2022), Power supply will be suspended in the following areas on Wednesday (06.04.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 05/Apr/2022 9:33:57 PM,04-06-2022
Power Shutdown areas in Chennai - Tuesday (05.04.2022), Power supply will be suspended in the following areas on Tuesday (05.04.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 04/Apr/2022 10:10:22 AM,04-05-2022
Power Shutdown areas in Chennai - Monday (04.04.2022), Power supply will be suspended in the following areas on Monday (04.04.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 04/Apr/2022 7:29:49 AM,04-04-2022
Power Shutdown areas in Chennai - Saturday (02.04.2022), Power supply will be suspended in the following areas on Saturday (02.04.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 01/Apr/2022 12:51:34 PM,04-02-2022
