title_original,text_original,posted_on_original,date_of_power_shutdown
Power Shutdown areas in Chennai - Friday (01.04.2022), Power supply will be suspended in the following areas on Friday (01.04.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 31/Mar/2022 7:09:12 PM,04-01-2022
Power Shutdown areas in Chennai - Thursday (31.03.2022), Power supply will be suspended in the following areas on Thursday (31.03.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 30/Mar/2022 5:24:01 PM,03-31-2022
Power Shutdown areas in Chennai - Wednesday (30.03.2022), Power supply will be suspended in the following areas on Wednesday (30.03.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 29/Mar/2022 9:53:01 PM,03-30-2022
Power Shutdown areas in Chennai - Tuesday (29.03.2022), Power supply will be suspended in the following areas on Tuesday (29.03.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 28/Mar/2022 10:06:52 AM,03-29-2022
Power Shutdown areas in Chennai - Saturday (26.03.2022), Power supply will be suspended in the following areas on  Saturday (26.03.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 25/Mar/2022 6:30:53 PM,03-26-2022
Power Shutdown areas in Chennai - Friday (25.03.2022), Power supply will be suspended in the following areas on Friday (25.03.2022)  from 09.00 am to 02.00 pm for maintenance work.,Posted On : 24/Mar/2022 6:24:39 PM,03-25-2022
Power Shutdown areas in Chennai - Saturday (19.03.2022), Power supply will be suspended in the following areas on  Saturday (19.03.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 18/Mar/2022 9:34:30 PM,03-19-2022
Power Shutdown areas in Chennai - Friday (18.03.2022), Power supply will be suspended in the following areas on Friday (18.03.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 17/Mar/2022 1:02:00 PM,03-18-2022
Power Shutdown areas in Chennai - Thursday (17.03.2022), Power supply will be suspended in the following areas on Thursday (17.03.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 16/Mar/2022 4:21:16 PM,03-17-2022
Power Shutdown areas in Chennai - Wednesday (16.03.2022), Power supply will be suspended in the following areas on Wednesday (16.03.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 15/Mar/2022 9:33:41 PM,03-16-2022
Power Shutdown areas in Chennai - Tuesday (15.03.2022)," Power supply will be suspended in the following areas on Tuesday (15.03.2022) from 09.00 am to 02.00 pm for maintenance work.
",Posted On : 15/Mar/2022 7:12:40 AM,03-15-2022
Power Shutdown areas in Chennai - Monday (14.03.2022)," Power supply will be suspended in the following areas on Monday (14.03.2022) from 09.00 am to 02.00 pm for maintenance work.
",Posted On : 14/Mar/2022 9:29:19 AM,03-14-2022
Power Shutdown areas in Chennai - Saturday (12.03.2022), Power supply will be suspended in the following areas on Saturday (12.03.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 11/Mar/2022 9:15:22 AM,03-12-2022
Power Shutdown areas in Chennai - Friday (11.03.2022), Power supply will be suspended in the following areas on Friday (11.03.2022)  from 09.00 am to 02.00 pm for maintenance work.,Posted On : 10/Mar/2022 10:06:57 PM,03-11-2022
Power Shutdown areas in Chennai - Thursday (10.03.2022), Power supply will be suspended in the following areas on Thursday (10.03.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 08/Mar/2022 10:48:52 PM,03-10-2022
Power Shutdown areas in Chennai - Wednesday (09.03.2022), Power supply will be suspended in the following areas on Wednesday (09.03.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 08/Mar/2022 10:31:08 PM,03-09-2022
Power Shutdown areas in Chennai - Tuesday (08.03.2022), Power supply will be suspended in the following areas on Tuesday (08.03.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 07/Mar/2022 5:35:19 PM,03-08-2022
Power Shutdown areas in Chennai - Monday(07.03.2022), Power supply will be suspended in the following areas on Monday(07.03.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 07/Mar/2022 7:57:44 AM,03-07-2022
Power Shutdown areas in Chennai - Friday (04.03.2022), Power supply will be suspended in the following areas on Friday (04.03.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 03/Mar/2022 10:31:54 AM,03-04-2022
Power Shutdown areas in Chennai - Thursday (03.03.2022), Power supply will be suspended in the following areas on Thursday (03.03.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 02/Mar/2022 10:55:44 PM,03-03-2022
Power Shutdown areas in Chennai - Wednesday (02.03.2022), Power supply will be suspended in the following areas on Wednesday (02.03.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 01/Mar/2022 2:58:55 PM,03-02-2022
Power Shutdown areas in Chennai - Tuesday (01.03.2022), Power supply will be suspended in the following areas on Tuesday (01.03.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 28/Feb/2022 8:50:55 AM,03-01-2022
Power Shutdown areas in Chennai - Monday (28.02.2022)," Power supply will be suspended in the following areas on Monday (28.02.2022) from 09.00 am to 02.00 pm for maintenance work.
",Posted On : 26/Feb/2022 10:14:43 PM,02-28-2022
Power Shutdown areas in Chennai - Saturday (26.02.2022), Power supply will be suspended in the following areas on 26.02.2022 from 09.00 am to      02.00 pm for maintenance work.,Posted On : 26/Feb/2022 8:02:22 AM,02-26-2022
Power Shutdown areas in Chennai - Friday (25.02.2022), Power supply will be suspended in the following areas on  Friday (25.02.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 24/Feb/2022 4:07:40 PM,02-25-2022
Power Shutdown areas in Chennai - Wednesday (23.02.2022), Power supply will be suspended in the following areas on  Wednesday (23.02.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 21/Feb/2022 9:34:53 PM,02-23-2022
Power Shutdown areas in Chennai - Saturday (29.01.2022)," Power supply will be suspended in the following areas on Saturday (29.01.2022) from 09.00 am to 02.00 pm for maintenance work.
",Posted On : 28/Jan/2022 9:20:09 PM,01-29-2022
Power Shutdown areas in Chennai - Friday (28.01.2022), Power supply will be suspended in the following areas on Friday (28.01.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 26/Jan/2022 9:12:04 PM,01-28-2022
Power Shutdown areas in Chennai - Thursday (27.01.2022), Power supply will be suspended in the following areas on Thursday (27.01.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 26/Jan/2022 9:11:24 PM,01-27-2022
Power Shutdown areas in Chennai - Tuesday (25.01.2022), Power supply will be suspended in the following areas on Tuesday (25.01.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 24/Jan/2022 11:12:17 PM,01-25-2022
Power Shutdown areas in Chennai - Monday (24.01.2022), Power supply will be suspended in the following areas on Monday (24.01.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 24/Jan/2022 8:50:39 AM,01-24-2022
Power Shutdown areas in Chennai - Today (22.01.2022), Power supply will be suspended in the following areas on Saturday (22.01.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 22/Jan/2022 8:09:10 AM,01-22-2022
Power Shutdown areas in Chennai - Friday (21.01.2022), Power supply will be suspended in the following areas on Friday (21.01.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 20/Jan/2022 9:41:14 PM,01-21-2022
Power Shutdown areas in Chennai - Thursday (20.01.2022)," Power supply will be suspended in the following areas on  Thursday (20.01.2022) from 09.00 am to 02.00 pm for maintenance work.
",Posted On : 18/Jan/2022 9:23:33 PM,01-20-2022
Power Shutdown areas in Chennai -  Wednesday (19.01.2022)," Power supply will be suspended in the following areas on Wednesday (19.01.2022) from 09.00 am to 02.00 pm for maintenance work.
",Posted On : 15/Jan/2022 12:10:34 PM,01-19-2022
Power Shutdown areas in Chennai - Wednesday (12.01.2022), Power supply will be suspended in the following areas on Wednesday (12.01.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 12/Jan/2022 8:25:46 AM,01-12-2022
Power Shutdown areas in Chennai - Monday (10.01.2022), Power supply will be suspended in the following areas on Monday (10.01.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 09/Jan/2022 10:29:04 PM,01-10-2022
Power Shutdown areas in Chennai - Saturday (08.01.2022), Power supply will be suspended in the following areas on Saturday (08.01.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 07/Jan/2022 7:41:53 AM,01-08-2022
Power Shutdown areas in Chennai - Friday (07.01.2022), Power supply will be suspended in the following areas on  Friday (07.01.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 07/Jan/2022 7:04:41 AM,01-07-2022
Power Shutdown areas in Chennai - Thursday (06.01.2022), Power supply will be suspended in the following areas on (06.01.2022) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 05/Jan/2022 4:11:33 PM,01-06-2022
Power Shutdown areas in Chennai -  Wednesday (05.01.2022)," Power supply will be suspended in the following areas on Wednesday (05.01.2022) from 09.00 am to 02.00 pm for maintenance work.
",Posted On : 04/Jan/2022 8:06:20 AM,01-05-2022
Power Shutdown areas in Chennai - Tuesday(04.01.2022)," Power supply will be suspended in the following areas on Tuesday (04.01.2022) from 09.00 am to 02.00 pm for maintenance work.
",Posted On : 01/Jan/2022 10:17:47 PM,01-04-2022
Power Shutdown areas in Chennai - Today (31.12.2021), Power supply will be suspended in the following areas on Friday (31.12.2021) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 31/Dec/2021 9:58:53 AM,12-31-2021
Power Shutdown areas in Chennai - Thursday (30.12.2021), Power supply will be suspended in the following areas on Thursday (30.12.2021) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 29/Dec/2021 9:05:46 PM,12-30-2021
Power Shutdown areas in Chennai - Wednesday (29.12.2021), Power supply will be suspended in the following areas on Wednesday (29.12.2021) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 28/Dec/2021 12:27:13 PM,12-29-2021
Power Shutdown areas in Chennai - Monday (27.12.2021), Power supply will be suspended in the following areas on Monday (27.12.2021) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 24/Dec/2021 9:41:35 PM,12-27-2021
Power Shutdown areas in Chennai - Tuesday (28.12.2021), Power supply will be suspended in the following areas on Tuesday (28.12.2021) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 24/Dec/2021 9:41:25 PM,12-28-2021
Power Shutdown areas in Chennai - Thursday (23.12.2021), Power supply will be suspended in the following areas on Thursday (23.12.2021) from 09.00 am to 05.00 pm for maintenance work.,Posted On : 22/Dec/2021 5:25:38 PM,12-23-2021
Power Shutdown areas in Chennai - Friday (24.12.2021), Power supply will be suspended in the following areas on Friday (24.12.2021) from 09.00 am to 05.00 pm for maintenance work.,Posted On : 22/Dec/2021 5:23:12 PM,12-24-2021
Power Shutdown areas in Chennai - Wednesday (22.12.2021), Power supply will be suspended in the following areas on Wednesday (22.12.2021) from 09.00 am to 05.00 pm for maintenance work.,Posted On : 21/Dec/2021 5:41:33 PM,12-22-2021
Power Shutdown areas in Chennai - Tuesday (21.12.2021), Power supply will be suspended in the following areas on Tuesday (21.12.2021) from 09.00 am to 05.00 pm for maintenance work.,Posted On : 19/Dec/2021 9:17:26 PM,12-21-2021
Power Shutdown areas in Chennai - Monday (20.12.2021), Power supply will be suspended in the following areas on Monday (20.12.2021) from 09.00 am to 05.00 pm for maintenance work.,Posted On : 19/Dec/2021 9:13:28 PM,12-20-2021
Power Shutdown areas in Chennai  (18.12.2021), Power supply will be suspended in the following areas on Saturday (18.12.2021) from 09.00 am to 05.00 pm for maintenance work.,Posted On : 17/Dec/2021 4:49:22 PM,12-18-2021
Power Shutdown areas in Chennai (17.12.2021), Power supply will be suspended in the following areas on Friday 17.12.2021 from 09.00 am to 04.00 pm for maintenance work.,Posted On : 17/Dec/2021 7:57:04 AM,12-17-2021
Power Shutdown areas in Chennai - Thursday (16.12.2021), Power supply will be suspended in the following areas on Thursday (16.12.2021) from 09.00 am to 05.00 pm for maintenance work.,Posted On : 14/Dec/2021 9:26:04 PM,12-16-2021
Power Shutdown areas in Chennai - Wednesday (15.12.2021), Power supply will be suspended in the following areas on Wednesday (15.12.2021) from 09.00 am to 04.00 pm for maintenance work. Supply will be resumed before 04.00 P.M if the works are completed.,Posted On : 13/Dec/2021 5:21:15 PM,12-15-2021
Power Shutdown areas in Chennai (11.12.2021)," Power supply will be suspended in the following areas on Saturday (11.12.2021) from 09.00 am to 04.00 pm for maintenance work.
",Posted On : 10/Dec/2021 9:30:52 PM,12-11-2021
Power Shutdown areas in Chennai  (09.12.2021), Power supply will be suspended in the following areas on 09.12.2021 from 09.00 am to 02.00 pm for maintenance work.,Posted On : 08/Dec/2021 9:28:59 PM,12-09-2021
Power Shutdown areas in Chennai  (10.12.2021)," Power supply will be suspended in the following areas on Friday (10.12.2021) from 09.00 am to 04.00 pm for maintenance work.
",Posted On : 08/Dec/2021 9:28:14 PM,12-10-2021
Power Shutdown areas in Chennai (08.12.2021), Power supply will be suspended in the following areas on 08.12.2021 from 09.00 am to 02.00 pm for maintenance work. Supply will be resumed before 02.00 P.M if the works are completed.,Posted On : 07/Dec/2021 10:00:41 AM,12-08-2021
Power Shutdown areas in Chennai (07.12.2021), Power supply will be suspended in the following areas on 07.12.2021 from 09.00 am to 02.00 pm for maintenance work. Supply will be resumed before 02.00 P.M if the works are completed.,Posted On : 06/Dec/2021 5:34:21 PM,12-07-2021
Power Shutdown areas in Chennai (03.12.2021), Power supply will be suspended in the following areas on 03.12.2021 from 09.00 am to 02.00 pm for maintenance work. Supply will be resumed before 02.00 P.M if the works are completed.,Posted On : 02/Dec/2021 8:45:45 AM,12-03-2021
Power Shutdown areas in Chennai (02.12.2021), Power supply will be suspended in the following areas on 02.12.2021 from 09.00 am to 02.00 pm for maintenance work. Supply will be resumed before 02.00 P.M if the works are completed.,Posted On : 01/Dec/2021 8:43:00 AM,12-02-2021
Power Shutdown areas in Chennai (29.11.2021), Power supply will be suspended in the following areas on 29.11.2021 from 09.00 am to 02.00 pm for maintenance work. Supply will be resumed before 02.00 P.M if the works are completed.,Posted On : 29/Nov/2021 9:18:24 AM,11-29-2021
Power Shutdown areas in Chennai (30.11.2021), Power supply will be suspended in the following areas on 30.11.2021 from 09.00 am to 02.00 pm for maintenance work. Supply will be resumed before 02.00 P.M if the works are completed.,Posted On : 29/Nov/2021 9:15:07 AM,11-30-2021
Power Shutdown areas in Chennai (25.11.2021)," Power supply will be suspended in the following areas on 25.11.2021 from 09.00 am to 02.00 pm for maintenance work.
",Posted On : 25/Nov/2021 7:05:16 AM,11-25-2021
Power Shutdown areas in Chennai (26.11.2021)," Power supply will be suspended in the following areas on Friday (26.11.2021) from 09.00 am to 02.00 pm for maintenance work.
",Posted On : 25/Nov/2021 7:05:08 AM,11-26-2021
Power Shutdown areas in Chennai (24.11.2021), Power supply will be suspended in the following areas on Wednesday (24.11.2021) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 22/Nov/2021 9:35:58 PM,11-24-2021
Power Shutdown areas in Chennai (19.11.2021), Power supply will be suspended in the following areas on Friday (19.11.2021) from 09.00 am to 02.00 pm for maintenance work.,Posted On : 17/Nov/2021 6:10:28 PM,11-19-2021
Power Shutdown areas in Chennai (17-11-2021)," Power supply will be suspended in the following areas on 17.11.2021 from 09.00 am to 02.00 pm for maintenance work.
",Posted On : 15/Nov/2021 9:30:07 PM,11-17-2021
Power Shutdown areas in Chennai (10.11-2021), Power supply will be suspended in the following areas on Wednesday (10.11.2021) from 09.00 am to 02.00 pm for maintenance work. Supply will be resumed before 02.00 P.M if the works are completed.,Posted On : 09/Nov/2021 10:16:23 AM,11-10-2021
Power Shutdown areas in Chennai (06.11-2021)," Power supply will be suspended in the following areas on Saturday (06.11.2021) from 09.00 am to 02.00 pm for maintenance work.
",Posted On : 05/Nov/2021 9:52:41 PM,11-06-2021
Power Shutdown areas in Chennai (08.11-2021)," Power supply will be suspended in the following areas on Monday (08.11.2021) from 09.00 am to 02.00 pm for maintenance work.
",Posted On : 05/Nov/2021 9:52:17 PM,11-08-2021
Power Shutdown areas in Chennai  (30-10-2021), Power supply will be suspended in the following areas on Saturday (30.10.2021) from 09.00 am to 04.00 pm for maintenance work. ,Posted On : 29/Oct/2021 5:46:33 PM,10-30-2021
Power Shutdown areas in Chennai (29-10-2021)," Power supply will be suspended in the following areas on Friday (29.10.2021) from 09.00 am to 04.00 pm for maintenance work. Supply will be resumed before 04.00 P.M if the works are completed.
",Posted On : 27/Oct/2021 9:55:14 PM,10-29-2021
Power Shutdown areas in Chennai (27-10-2021), Power supply will be suspended in the following areas on Wednesday (27.10.2021) from 09.00 am to 04.00 pm for maintenance work. ,Posted On : 26/Oct/2021 5:17:31 PM,10-27-2021
Power Shutdown areas in Chennai (28-10-2021), Power supply will be suspended in the following areas on Thursday (28.10.2021) from 09.00 am to 04.00 pm for maintenance work. Supply will be resumed before 04.00 P.M if the works are completed.,Posted On : 26/Oct/2021 5:09:54 PM,10-28-2021
Power Shutdown areas in Chennai (26-10-2021), Power supply will be suspended in the following areas on  Tuesday (26-10-2021) from 09.00 am to 04.00 pm for maintenance work. Supply will be resumed before 04.00 P.M if the works are completed.,Posted On : 25/Oct/2021 9:39:01 PM,10-26-2021
Power Shutdown areas in Chennai (25-10-2021), Power supply will be suspended in the following areas on Monday (25.10.2021) from 09.00 am to 04.00 pm for maintenance work. Supply will be resumed before 04.00 P.M if the works are completed.,Posted On : 24/Oct/2021 6:04:57 PM,10-25-2021
Power Shutdown areas in Chennai (23-10-2021), Power supply will be suspended in the following areas on Saturday (23.10.2021) from 09.00 am to 04.00 pm for maintenance work. Supply will be resumed before 04.00 P.M if the works are completed.,Posted On : 21/Oct/2021 10:42:54 PM,10-23-2021
Power Shutdown areas in Chennai (21-10-2021), Power supply will be suspended in the following areas on  Thursday (21-10-2021) from 09.00 am to 04.00 pm for maintenance work. Supply will be resumed before 04.00 P.M if the works are completed,Posted On : 19/Oct/2021 9:33:14 PM,10-21-2021
Power Shutdown areas in Chennai (18-10-2021), Power supply will be suspended in the following areas on Monday (18-10-2021) from 09.00 am to 04.00 pm for maintenance work. Supply will be resumed before 04.00 P.M if the works are completed,Posted On : 17/Oct/2021 10:11:21 PM,10-18-2021
Power Shutdown areas in Chennai (16-10-2021), Power supply will be suspended in the following areas on Saturday (16.10.2021) from 09.00 am to 04.00 pm for maintenance work. Supply will be resumed before 04.00 P.M if the works are completed.,Posted On : 13/Oct/2021 5:58:33 PM,10-16-2021
Power Shutdown areas in Chennai (12-10-2021)," Power supply will be suspended in the following areas on Tuesday (12.10.2021) from 09.00 am to 04.00 pm for maintenance work.
",Posted On : 10/Oct/2021 11:50:35 AM,10-12-2021
Power Shutdown areas in Chennai (08.10.2021), Power supply will be suspended in the following areas on Friday (08.10.2021) from 09.00 am to 04.00 pm for maintenance work.Supply will be resumed before 04.00 P.M if the works are completed.,Posted On : 07/Oct/2021 9:24:52 PM,10-08-2021
Power Shutdown areas in Chennai (07.10.2021), Power supply will be suspended in the following areas on Thursday(07.10.2021)  from 09.00 am to 04.00 pm for maintenance work.Supply will be resumed before 04.00 P.M if the works are completed.,Posted On : 06/Oct/2021 9:27:20 PM,10-07-2021
Power Shutdown areas in Chennai (06-10-2021), Power supply will be suspended in the following areas on 05.10.2021 from 09.00 am to 04.00 pm for maintenance work. Supply will be resumed before 04.00 P.M if the works are completed.,Posted On : 06/Oct/2021 7:14:29 AM,10-06-2021
Chennai Power Shutdown (05-10-2021)," Power supply will be suspended in the following areas on 05.10.2021 from 09.00 am to 04.00 pm for maintenance work.
",Posted On : 03/Oct/2021 8:39:00 PM,10-05-2021
Power Shutdown areas in Chennai (04.10.2021), Power supply will be suspended in the following areas on Monday(04.10.2021) from 09.00 am to 04.00 pm for maintenance work.Supply will be resumed before 04.00 P.M if the works are completed.,Posted On : 03/Oct/2021 8:35:54 PM,10-04-2021
Power Shutdown areas in Chennai (01.10.2021)," Power supply will be suspended in the following areas on Friday (01.10.2021) from 09.00 am to 04.00 pm for maintenance work.Supply will be resumed before 04.00 P.M if the works are completed.
",Posted On : 30/Sep/2021 7:14:27 AM,10-01-2021
Power Shutdown areas in Chennai (30.09.2021), Power supply will be suspended in the following areas on Thursday (30.09.2021) from 09.00 am to 02.00 pm for maintenance work. Supply will be resumed before 02.00 P.M if the works are completed.,Posted On : 28/Sep/2021 6:23:46 PM,09-30-2021
Power Shutdown areas in Chennai (28.09.2021), Power supply will be suspended in the following areas on Tuesday (28.09.2021) from 09.00 am to 02.00 pm for maintenance work. Supply will be resumed before 02.00 P.M if the works are completed.,Posted On : 28/Sep/2021 7:17:36 AM,09-28-2021
