Category,Consumption (M.U),Percentage of Consumption
Industries (including Traction),15606,25.7
Agriculture,12301,20.2
Domestic,20201,33.2
Commercial,7123,11.7
Public Lighting & Water works,1917,3.1
Miscellaneous ,3717,6.1
TOTAL,60865,100
