Sl.No,Type of Power,Name of power station,Year of operation,Installed Capacity in MW,Generation in MU,Auxiliary Consumption in MU,Net Generation in MU,,
29,Hydro,Lower Aliyar,2002,2.5,8.057,0.052,8.005,,
30,Hydro,Amaravathy,2006,4,4.927,0.082,4.845,,
31,Hydro,Perunchani,2006,1.3,1.259,0.004,1.255,,
32,Hydro,Periyar,1965,168,504.777,1.701,503.076,,
33,Hydro,Vaigai Micro Hydel,1990,6,18.054,0.119,17.935,,
34,Hydro,"Periyar Vaigai Micro, I,  II & III",2010,13,19.105,0.338,18.767,,
35,Hydro,Suruliyar,1986,35,92.503,0.468,92.035,,
36,Hydro,Papanasam,1951,32,116.555,0.81,115.745,,
37,Hydro,Servalar,1987,20,39.011,0.086,38.925,,
38,Hydro,Sarkarpathy,1966,30,79.271,0.158,79.113,,
39,Hydro,Aliyar,1970,60,152.956,0.547,152.409,,
40,Hydro,Kadamparai,1988,400,413.41,2.352,411.058,,
41,Hydro,Sholayar-1,1971,70,207.061,0.428,206.633,,
42,Hydro,Sholayar-2,1971,25,56.753,0.193,56.56,,
43,Hydro,Kodayar-1,1971,60,192.743,0.474,192.269,,
44,Hydro,Kodayar-2,1971,40,85.835,0.288,85.547,,
Total,Hydro,Total Hydro,NA,2307.9,4632.825,22.408,4610.417,,
45,Thermal,Ennore TPS,1970,340,442.26,94.9,347.36,,
46,Thermal,North Chennai TPS,1994,630,4448.868,402.474,4046.394,,
47,Thermal,Tuticorin TPS,1979-1991,1050,7082.47,5813.097,6501.373,,
48,Thermal,Mettur TPS,1990,840,5977.372,506.044,5471.328,,
49,Thermal,NCTPS Stage - II,2013,1200,6498.46,466.503,6031.957,,
50,Thermal,MTPS Stage – III,2013,600,3925.86,251.696,3674.164,,
Total,Thermal,Total Thermal,NA,4660,28375.29,2303.714,26072.576,,
51,Gas,Basin Bridge,1996,120,10.162,0.636,9.526,,
52,Gas,Kovil Kalappal,2001,107.88,399.098,35.417,363.681,,
53,Gas,Vazhuthur,2003,95,721.185,45.466,675.719,,
54,Gas,Valuthur Phase II,2008,92,0,5.171,NA,,
55,Gas,Kuttalam,2004,101,563.677,45.198,518.479,,
56,Wind Mill + Solar,TNEB,NA,NA,NA,NA,NA,,
Sub,Total,Sub Total,NA,NA,516.08,1694.122,131.888,,
57,Central Sector-Purchases,Neyveli TPS 1,1962,600/475,2486.595,NA,NA,,
58,Central Sector-Purchases,Neyveli TPS 1-Expansion,2003,420/228,1629.398,NA,NA,,
59,Central Sector-Purchases,Neyveli TPS 2,1986,1470/474,3156.881,NA,NA,,
60,Central Sector-Purchases,MAPS,1983,440/331,2092.262,NA,NA,,
61,Central Sector-Purchases,KAPS,2000,880/228,1869.399,NA,NA,,
62,Central Sector-Purchases,Ramagundam Stage 1&2,1984,2100/530,4019.714,NA,NA,,
63,Central Sector-Purchases,Ramagundam Stage 3,2005,500/133,1066.783,NA,NA,,
64,Central Sector-Purchases,ER Power,NA,35,287.819,NA,NA,,
65,Central Sector-Purchases,Talcher Stage-2,2003-2005,2000/490,3750.91,NA,NA,,
66,Central Sector-Purchases,Simhadri Stage-2,2011,1000/224,1543.73,NA,NA,,
67,Central Sector-Purchases,Vallur NTECL,2012,1500/1067,5162.159,NA,NA,,
68,Central Sector-Purchases,Kudankulam NPCIL,2014,1000/563,1037.274,NA,NA,,
69,Central Sector-Purchases,Neyveli TPS-2 Expansion,2015,500/271,304.771,NA,NA,,
70,Central Sector-Purchases,NLC TamilNadu Power Ltd (NTPL).,2015,1000/415,1297.37,NA,NA,,
71,Central Sector-Purchases,Solar bundled NVVN Power from NTPC stations,NA,NA,37.195,NA,NA,,
72,Central Sector-Purchases,Devition Settlement Mechanism (inter state + Intra state),NA,NA,-548.66,NA,NA,,
Total,Central Sector-Purchases,Sub Total,NA,5464,29193.794,NA,NA,,
73,Private Sector - Purchases,Samalpatti Power Company Pvt.Ltd.*,2001,NA,36.904,NA,NA,,
74,Private Sector - Purchases,Madurai Power Corporation Pvt.Ltd.,2001,NA,39.902,NA,NA,,
75,Private Sector - Purchases,PPN Power Generating Company Pvt.Ltd.,2001,NA,152.253,NA,NA,,
76,Private Sector - Purchases,TAQA Neyveli Power Company Pvt.Ltd.,2002,NA,1383.074,NA,NA,,
77,Private Sector - Purchases,Lanco Tanjore Power Company Ltd.,2005,NA,620.207,NA,NA,,
78,Private Sector - Purchases,Pioneer Power Ltd.,2006,NA,177.839,NA,NA,,
Total,Private Sector - Purchases,Sub Total,NA,NA,2410.179,NA,NA,,
79,Others,CPP direct,NA,NA,92.912,NA,NA,,
80,Others,CPP Purchase through traders.,NA,NA,10078.4,NA,NA,,
81,Others,Co-Generation **,NA,NA,456.852,NA,NA,,
82,Others,Wind Mill (Pvt)**,NA,NA,8268.999,NA,NA,,
83,Others,Bio-mass**,NA,NA,19.71,NA,NA,,
84,Others,Solar (Pvt)**,NA,NA,507.19,NA,NA,,
85,Others,Trading Purchase (Bilateral),NA,NA,187.537,NA,NA,,
86,Others,Trading Purchase (Exchange),NA,NA,57.64,NA,NA,,
87,Others,Trading Purchase (Case 1 bidding),NA,NA,13696.687,NA,NA,,
88,Others,Swap receipt,NA,NA,NA,NA,NA,,
89,Others,Swap return / Swap Banking / sale,NA,NA,NA,NA,NA,,
90,Others,Total Installed capacity (firm).,NA,17976.48,64970,NA,NA,,
91,Others,Total Installed capacity (infirm).**,NA,9629.52,NA,NA,NA,,
92,Others,Power Demand,NA,NA,NA,NA,NA,,
93,Others,Instaneous Demand met,NA,NA,NA,14538,24.02.2016,,
94,Others,Sustained Demand met,NA,NA,NA,14533,24.02.2016,,
