JAN 2020,,,,,,,FEB 2020,,,,,,,MAR 2020,,,,,,,APR 2020,,,,,,,MAY 2020,,,,,,,JUN 2020,,,,,,,JUL 2020,,,,,,,AUG 2020,,,,,,,SEP 2020,,,,,,,OCT 2020,,,,,,,NOV 2020,,,,,,,DEC 2020,,,,,,,,,,,
"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,,"Total Monitored
Capacity
(MW)",Total Target,,
,,,,,Jan-20,,,,,,,FEB-2020,,,,,,,MAR-2020,,,,,,,APR-2020,,,,,,,MAY-2020,,,,,,,JUN-2020,,,,,,,JUL-2020,,,,,,,AUG-2020,,,,,,,SEP-2020,,,,,,,OCT-2020,,,,,,,NOV-2020,,,,,,,DEC-2020,,,,,,
,,,,APR 2019 to MAR 2020,,,,,,,APR 2019 to MAR 2020,,,,,,,APR 2019 to MAR 2020,,,,,,,APR 2020 to MAR 2021,,,,,,,APR 2020 to MAR 2021,,,,,,,APR 2020 to MAR 2021,,,,,,,APR 2020 to MAR 2021,,,,,,,APR 2020 to MAR 2021,,,,,,,APR 2020 to MAR 2021,,,,,,,APR 2020 to MAR 2021,,,,,,,APR 2020 to MAR 2021,,,,,,,APR 2020 to MAR 2021,,,,,APR 2020 to MAR 2021,,
,,,,,PROGRAM,ACTUAL,,,,,,PROGRAM,ACTUAL,,,,,,PROGRAM,ACTUAL,,,,,,PROGRAM,ACTUAL,,,,,,PROGRAM,ACTUAL,,,,,,PROGRAM,ACTUAL,,,,,,PROGRAM,ACTUAL,,,,,,PROGRAM,ACTUAL,,,,,,PROGRAM,ACTUAL,,,,,,PROGRAM,ACTUAL,,,,,,PROGRAM,ACTUAL,,,,,,PROGRAM,ACTUAL,,,,Total PROGRAM,Total ACTUAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,2,3,4,,,,1,2,3,4,,,,1,2,3,4,,,,1,2,3,4,,,,1,2,3,4,,,,1,2,3,4,,,,1,2,3,4,,,,1,2,3,4,,,,1,2,3,4,,,,1,2,3,4,,,,1,2,3,4,,,,1,2,3,4,,,,,
TAMIL NADU,,,,,,,TAMIL NADU,,,,,,,TAMIL NADU,,,,,,,TAMIL NADU,,,,,,,TAMIL NADU,,,,,,,TAMIL NADU,,,,,,,TAMIL NADU,,,,,,,TAMIL NADU,,,,,,,TAMIL NADU,,,,,,,TAMIL NADU,,,,,,,TAMIL NADU,,,,,,,TAMIL NADU,,,,,,,,,,,
STATE SECTOR,,,,,,,STATE SECTOR,,,,,,,STATE SECTOR,,,,,,,STATE SECTOR,,,,,,,STATE SECTOR,,,,,,,STATE SECTOR,,,,,,,STATE SECTOR,,,,,,,STATE SECTOR,,,,,,,STATE SECTOR,,,,,,,STATE SECTOR,,,,,,,STATE SECTOR,,,,,,,STATE SECTOR,,,,,,,,,,,
METTUR TPS,,,840.00,5500.00,460.00,272.40,METTUR TPS,,,840.00,5500.00,453.00,392.60,METTUR TPS,,,840.00,5500.00,494.00,362.87,METTUR TPS,,,840.00,5500.00,518.00,145.69,METTUR TPS,,,840.00,5500.00,534.00,458.79,METTUR TPS,,,840.00,5500.00,505.00,361.39,METTUR TPS,,,840.00,5500.00,435.00,341.55,METTUR TPS,,,840.00,5500.00,467.00,214.40,METTUR TPS,,,840.00,5500.00,399.00,146.39,METTUR TPS,,,840.00,5500.00,432.00,204.95,METTUR TPS,,,840.00,5500.00,374.00,193.43,METTUR TPS,,,840.00,5500.00,449.00,310.38,,10080.00,66000.00,5520.00,3404.84
METTUR TPS - II,,,600.00,3500.00,321.00,272.64,METTUR TPS - II,,,600.00,3500.00,295.00,255.68,METTUR TPS - II,,,600.00,3500.00,301.00,223.92,METTUR TPS - II,,,600.00,3500.00,342.00,0.00,METTUR TPS - II,,,600.00,3500.00,355.00,233.63,METTUR TPS - II,,,600.00,3500.00,340.00,171.00,METTUR TPS - II,,,600.00,3500.00,324.00,380.08,METTUR TPS - II,,,600.00,3500.00,151.00,4.85,METTUR TPS - II,,,600.00,3500.00,159.00,14.05,METTUR TPS - II,,,600.00,3500.00,287.00,0.00,METTUR TPS - II,,,600.00,3500.00,284.00,0.00,METTUR TPS - II,,,600.00,3500.00,308.00,213.09,,7200.00,42000.00,3467.00,1768.94
NORTH CHENNAI TPS,,,1830.00,11200.00,1008.00,587.18,NORTH CHENNAI TPS,,,1830.00,11200.00,926.00,931.38,NORTH CHENNAI TPS,,,1830.00,11200.00,999.00,684.76,NORTH CHENNAI TPS,,,1830.00,11700.00,1080.00,190.50,NORTH CHENNAI TPS,,,1830.00,11700.00,1118.00,556.18,NORTH CHENNAI TPS,,,1830.00,11700.00,1073.00,774.81,NORTH CHENNAI TPS,,,1830.00,11700.00,802.00,618.14,NORTH CHENNAI TPS,,,1830.00,11700.00,801.00,682.89,NORTH CHENNAI TPS,,,1830.00,11700.00,656.00,419.36,NORTH CHENNAI TPS,,,1830.00,11700.00,1113.00,501.42,NORTH CHENNAI TPS,,,1830.00,11700.00,895.00,470.73,NORTH CHENNAI TPS,,,1830.00,11700.00,913.00,358.52,,21960.00,138900.00,11384.00,6775.87
