S.No,Category,Consumption(M.U.),Percentage of Consumption
1,Industries (including Traction),25622,41.4
2,Agriculture,12625,20.4
3,Domestic,16312,26.3
4,Commercial,4586,7.4
5,Public Lighting & Water works,1592,2.6
6,Sales of Licensees,429,0.7
7,Sales to other States,NA,NA
8,Miscellaneous,731,1.2
Total,Total,61897,100
