,Type,Name,variable,value,Year
36,Hydro,Servalar,Net Generation of 2010(M.U),26.05,2010
37,Hydro,Sarkarpathy,Net Generation of 2010(M.U),121.08,2010
38,Hydro,Aliyar,Net Generation of 2010(M.U),165.69,2010
39,Hydro,Kadamparai,Net Generation of 2010(M.U),496.72,2010
40,Hydro,Sholayar-1,Net Generation of 2010(M.U),287.04,2010
41,Hydro,Sholayar-2,Net Generation of 2010(M.U),63.52,2010
42,Hydro,Kodayar-1,Net Generation of 2010(M.U),195.91,2010
43,Hydro,Kodayar-2,Net Generation of 2010(M.U),83.17,2010
44,Thermal,Ennore TPS,Net Generation of 2010(M.U),1217.64,2010
45,Thermal,North Chennai TPS,Net Generation of 2010(M.U),4411.07,2010
46,Thermal,Tuticorin TPS,Net Generation of 2010(M.U),6543.42,2010
47,Thermal,Mettur TPS,Net Generation of 2010(M.U),5868.25,2010
48,Gas,Basin Bridge,Net Generation of 2011(M.U),49.53,2011
49,Gas,Kovil Kalappal,Net Generation of 2011(M.U),605.04,2011
50,Gas,Vazhuthur,Net Generation of 2011(M.U),529.85,2011
51,Gas,Vazhuthur phase II,Net Generation of 2011(M.U),2.6,2011
52,Gas,Kuttalam,Net Generation of 2011(M.U),158.79,2011
53,Hydro,Pykara,Net Generation of 2011(M.U),28.66,2011
54,Hydro,Pykara Micro Hydel,Net Generation of 2011(M.U),5.47,2011
55,Hydro,PUSHEP,Net Generation of 2011(M.U),428.72,2011
56,Hydro,Moyar,Net Generation of 2011(M.U),154.91,2011
57,Hydro,Maravakandi Micro Hydel,Net Generation of 2011(M.U),1.98,2011
58,Hydro,Parsons valley,Net Generation of 2011(M.U),39.18,2011
59,Hydro,Kundah - 1,Net Generation of 2011(M.U),218.18,2011
60,Hydro,Kundah - 2,Net Generation of 2011(M.U),570.28,2011
61,Hydro,Kundah - 3,Net Generation of 2011(M.U),335.15,2011
62,Hydro,Kundah - 4,Net Generation of 2011(M.U),121.34,2011
63,Hydro,Kundah - 5,Net Generation of 2011(M.U),58.65,2011
64,Hydro,Mettur Dam,Net Generation of 2011(M.U),94.64,2011
65,Hydro,Mettur Tunnel,Net Generation of 2011(M.U),265.37,2011
66,Hydro,LMHEP-Barrage-1,Net Generation of 2011(M.U),70.98,2011
67,Hydro,LMHEP-Barrage-2,Net Generation of 2011(M.U),65.98,2011
68,Hydro,LMHEP-Barrage-3,Net Generation of 2011(M.U),66.53,2011
69,Hydro,LMHEP-Barrage-4,Net Generation of 2011(M.U),56.16,2011
70,Hydro,Bhavani Kattalai PH-1,Net Generation of 2011(M.U),71.22,2011
71,Hydro,Bhavanisagar RBC,Net Generation of 2011(M.U),20.71,2011
72,Hydro,Bhavani Sagar Micro Hydel,Net Generation of 2011(M.U),32.98,2011
73,Hydro,Poonachi Micro,Net Generation of 2011(M.U),4.5,2011
74,Hydro,Sathanur Micro,Net Generation of 2011(M.U),10.19,2011
75,Hydro,Mukurthy Micro,Net Generation of 2011(M.U),1.44,2011
76,Hydro,Thirumoorthy Micro,Net Generation of 2011(M.U),3.8,2011
77,Hydro,Lower Aliyar,Net Generation of 2011(M.U),8.53,2011
78,Hydro,Amaravathy,Net Generation of 2011(M.U),8.69,2011
79,Hydro,Perunchani,Net Generation of 2011(M.U),2.68,2011
80,Hydro,Periyar,Net Generation of 2011(M.U),428.74,2011
81,Hydro,Vaigai Micro Hydel,Net Generation of 2011(M.U),15.14,2011
82,Hydro,Suruliyar,Net Generation of 2011(M.U),97.75,2011
83,Hydro,Papanasam,Net Generation of 2011(M.U),136.78,2011
84,Hydro,Servalar,Net Generation of 2011(M.U),38.84,2011
85,Hydro,Sarkarpathy,Net Generation of 2011(M.U),134.79,2011
86,Hydro,Aliyar,Net Generation of 2011(M.U),162.92,2011
87,Hydro,Kadamparai,Net Generation of 2011(M.U),568.95,2011
88,Hydro,Sholayar-1,Net Generation of 2011(M.U),355.21,2011
89,Hydro,Sholayar-2,Net Generation of 2011(M.U),56.96,2011
90,Hydro,Kodayar-1,Net Generation of 2011(M.U),80.86,2011
91,Hydro,Kodayar-2,Net Generation of 2011(M.U),64.17,2011
92,Thermal,Ennore TPS,Net Generation of 2011(M.U),1175.99,2011
93,Thermal,North Chennai TPS,Net Generation of 2011(M.U),4110.0,2011
94,Thermal,Tuticorin TPS,Net Generation of 2011(M.U),6522.58,2011
95,Thermal,Mettur TPS,Net Generation of 2011(M.U),5548.56,2011
96,Gas,Basin Bridge,Net Generation of 2012(M.U),26.97,2012
97,Gas,Kovil Kalappal,Net Generation of 2012(M.U),663.28,2012
98,Gas,Vazhuthur,Net Generation of 2012(M.U),618.34,2012
99,Gas,Vazhuthur phase II,Net Generation of 2012(M.U),333.63,2012
100,Gas,Kuttalam,Net Generation of 2012(M.U),382.42,2012
101,Hydro,Pykara,Net Generation of 2012(M.U),39.19,2012
102,Hydro,Pykara Micro Hydel,Net Generation of 2012(M.U),5.83,2012
103,Hydro,PUSHEP,Net Generation of 2012(M.U),354.19,2012
104,Hydro,Moyar,Net Generation of 2012(M.U),131.12,2012
105,Hydro,Maravakandi Micro Hydel,Net Generation of 2012(M.U),0.75,2012
106,Hydro,Parsons valley,Net Generation of 2012(M.U),35.7,2012
107,Hydro,Kundah - 1,Net Generation of 2012(M.U),217.45,2012
108,Hydro,Kundah - 2,Net Generation of 2012(M.U),577.02,2012
109,Hydro,Kundah - 3,Net Generation of 2012(M.U),348.08,2012
110,Hydro,Kundah - 4,Net Generation of 2012(M.U),156.4,2012
111,Hydro,Kundah - 5,Net Generation of 2012(M.U),52.94,2012
112,Hydro,Mettur Dam,Net Generation of 2012(M.U),153.2,2012
113,Hydro,Mettur Tunnel,Net Generation of 2012(M.U),470.73,2012
114,Hydro,LMHEP-Barrage-1,Net Generation of 2012(M.U),107.58,2012
115,Hydro,LMHEP-Barrage-2,Net Generation of 2012(M.U),101.61,2012
116,Hydro,LMHEP-Barrage-3,Net Generation of 2012(M.U),105.48,2012
117,Hydro,LMHEP-Barrage-4,Net Generation of 2012(M.U),83.95,2012
118,Hydro,Bhavani Kattalai PH-1,Net Generation of 2012(M.U),82.48,2012
119,Hydro,Bhavanisagar RBC,Net Generation of 2012(M.U),23.74,2012
120,Hydro,Bhavani Sagar Micro Hydel,Net Generation of 2012(M.U),41.44,2012
121,Hydro,Poonachi Micro,Net Generation of 2012(M.U),1.44,2012
122,Hydro,Sathanur Micro,Net Generation of 2012(M.U),10.72,2012
123,Hydro,Mukurthy Micro,Net Generation of 2012(M.U),1.48,2012
124,Hydro,Thirumoorthy Micro,Net Generation of 2012(M.U),3.21,2012
125,Hydro,Lower Aliyar,Net Generation of 2012(M.U),8.64,2012
126,Hydro,Amaravathy,Net Generation of 2012(M.U),6.65,2012
127,Hydro,Perunchani,Net Generation of 2012(M.U),0.93,2012
128,Hydro,Periyar,Net Generation of 2012(M.U),533.25,2012
129,Hydro,Vaigai Micro Hydel,Net Generation of 2012(M.U),23.54,2012
130,Hydro,Suruliyar,Net Generation of 2012(M.U),115.18,2012
131,Hydro,Papanasam,Net Generation of 2012(M.U),121.6,2012
132,Hydro,Servalar,Net Generation of 2012(M.U),27.1,2012
133,Hydro,Sarkarpathy,Net Generation of 2012(M.U),109.46,2012
134,Hydro,Aliyar,Net Generation of 2012(M.U),173.91,2012
135,Hydro,Kadamparai,Net Generation of 2012(M.U),506.53,2012
136,Hydro,Sholayar-1,Net Generation of 2012(M.U),216.97,2012
137,Hydro,Sholayar-2,Net Generation of 2012(M.U),60.96,2012
138,Hydro,Kodayar-1,Net Generation of 2012(M.U),214.47,2012
139,Hydro,Kodayar-2,Net Generation of 2012(M.U),81.26,2012
140,Thermal,Ennore TPS,Net Generation of 2012(M.U),744.15,2012
141,Thermal,North Chennai TPS,Net Generation of 2012(M.U),4300.95,2012
142,Thermal,Tuticorin TPS,Net Generation of 2012(M.U),7261.89,2012
143,Thermal,Mettur TPS,Net Generation of 2012(M.U),6279.63,2012
144,Gas,Basin Bridge,Net Generation of 2013(M.U),2.17,2013
145,Gas,Kovil Kalappal,Net Generation of 2013(M.U),678.37,2013
146,Gas,Vazhuthur,Net Generation of 2013(M.U),421.68,2013
147,Gas,Vazhuthur phase II,Net Generation of 2013(M.U),455.04,2013
148,Gas,Kuttalam,Net Generation of 2013(M.U),49.47,2013
149,Hydro,Pykara,Net Generation of 2013(M.U),39.27,2013
150,Hydro,Pykara Micro Hydel,Net Generation of 2013(M.U),3.62,2013
151,Hydro,PUSHEP,Net Generation of 2013(M.U),193.41,2013
152,Hydro,Moyar,Net Generation of 2013(M.U),77.47,2013
153,Hydro,Maravakandi Micro Hydel,Net Generation of 2013(M.U),0.69,2013
154,Hydro,Parsons valley,Net Generation of 2013(M.U),30.01,2013
155,Hydro,Kundah - 1,Net Generation of 2013(M.U),180.59,2013
156,Hydro,Kundah - 2,Net Generation of 2013(M.U),453.17,2013
157,Hydro,Kundah - 3,Net Generation of 2013(M.U),262.84,2013
158,Hydro,Kundah - 4,Net Generation of 2013(M.U),70.83,2013
159,Hydro,Kundah - 5,Net Generation of 2013(M.U),42.72,2013
160,Hydro,Mettur Dam,Net Generation of 2013(M.U),83.05,2013
161,Hydro,Mettur Tunnel,Net Generation of 2013(M.U),119.77,2013
162,Hydro,LMHEP-Barrage-1,Net Generation of 2013(M.U),45.88,2013
163,Hydro,LMHEP-Barrage-2,Net Generation of 2013(M.U),40.37,2013
164,Hydro,LMHEP-Barrage-3,Net Generation of 2013(M.U),39.69,2013
165,Hydro,LMHEP-Barrage-4,Net Generation of 2013(M.U),30.1,2013
166,Hydro,Bhavani Kattalai PH-1,Net Generation of 2013(M.U),70.14,2013
167,Hydro,Bhavanisagar RBC,Net Generation of 2013(M.U),0.06,2013
168,Hydro,Bhavani Sagar Micro Hydel,Net Generation of 2013(M.U),16.07,2013
169,Hydro,Poonachi Micro,Net Generation of 2013(M.U),1.66,2013
170,Hydro,Sathanur Micro,Net Generation of 2013(M.U),5.04,2013
171,Hydro,Mukurthy Micro,Net Generation of 2013(M.U),1.12,2013
172,Hydro,Thirumoorthy Micro,Net Generation of 2013(M.U),1.94,2013
173,Hydro,Lower Aliyar,Net Generation of 2013(M.U),3.98,2013
174,Hydro,Amaravathy,Net Generation of 2013(M.U),2.22,2013
175,Hydro,Perunchani,Net Generation of 2013(M.U),0.24,2013
176,Hydro,Periyar,Net Generation of 2013(M.U),177.93,2013
177,Hydro,Vaigai Micro Hydel,Net Generation of 2013(M.U),3.12,2013
178,Hydro,Suruliyar,Net Generation of 2013(M.U),49.08,2013
179,Hydro,Papanasam,Net Generation of 2013(M.U),62.64,2013
180,Hydro,Servalar,Net Generation of 2013(M.U),9.55,2013
181,Hydro,Sarkarpathy,Net Generation of 2013(M.U),83.59,2013
182,Hydro,Aliyar,Net Generation of 2013(M.U),76.23,2013
183,Hydro,Kadamparai,Net Generation of 2013(M.U),297.3,2013
184,Hydro,Sholayar-1,Net Generation of 2013(M.U),145.08,2013
185,Hydro,Sholayar-2,Net Generation of 2013(M.U),56.36,2013
186,Hydro,Kodayar-1,Net Generation of 2013(M.U),74.73,2013
187,Hydro,Kodayar-2,Net Generation of 2013(M.U),63.03,2013
188,Thermal,Ennore TPS,Net Generation of 2013(M.U),610.23,2013
189,Thermal,North Chennai TPS,Net Generation of 2013(M.U),4633.51,2013
190,Thermal,Tuticorin TPS,Net Generation of 2013(M.U),7620.48,2013
191,Thermal,Mettur TPS,Net Generation of 2013(M.U),5684.45,2013
192,Gas,Basin Bridge,Net Generation of 2014(M.U),22.89,2014
193,Gas,Kovil Kalappal,Net Generation of 2014(M.U),373.52,2014
194,Gas,Vazhuthur,Net Generation of 2014(M.U),576.26,2014
195,Gas,Vazhuthur phase II,Net Generation of 2014(M.U),333.63,2014
196,Gas,Kuttalam,Net Generation of 2014(M.U),336.24,2014
197,Hydro,Pykara,Net Generation of 2014(M.U),26.95,2014
198,Hydro,Pykara Micro Hydel,Net Generation of 2014(M.U),5.79,2014
199,Hydro,PUSHEP,Net Generation of 2014(M.U),347.68,2014
200,Hydro,Moyar,Net Generation of 2014(M.U),118.53,2014
201,Hydro,Maravakandi Micro Hydel,Net Generation of 2014(M.U),0.94,2014
202,Hydro,Parsons valley,Net Generation of 2014(M.U),36.53,2014
203,Hydro,Kundah - 1,Net Generation of 2014(M.U),218.18,2014
204,Hydro,Kundah - 2,Net Generation of 2014(M.U),570.28,2014
205,Hydro,Kundah - 3,Net Generation of 2014(M.U),335.15,2014
206,Hydro,Kundah - 4,Net Generation of 2014(M.U),121.34,2014
207,Hydro,Kundah - 5,Net Generation of 2014(M.U),58.65,2014
208,Hydro,Mettur Dam,Net Generation of 2014(M.U),100.26,2014
209,Hydro,Mettur Tunnel,Net Generation of 2014(M.U),292.07,2014
210,Hydro,LMHEP-Barrage-1,Net Generation of 2014(M.U),64.62,2014
211,Hydro,LMHEP-Barrage-2,Net Generation of 2014(M.U),60.21,2014
212,Hydro,LMHEP-Barrage-3,Net Generation of 2014(M.U),64.96,2014
213,Hydro,LMHEP-Barrage-4,Net Generation of 2014(M.U),53.41,2014
214,Hydro,Bhavani Kattalai PH-1,Net Generation of 2014(M.U),82.48,2014
215,Hydro,Bhavanisagar RBC,Net Generation of 2014(M.U),12.71,2014
216,Hydro,Bhavani Sagar Micro Hydel,Net Generation of 2014(M.U),27.65,2014
217,Hydro,Poonachi Micro,Net Generation of 2014(M.U),2.43,2014
218,Hydro,Sathanur Micro,Net Generation of 2014(M.U),7.87,2014
219,Hydro,Mukurthy Micro,Net Generation of 2014(M.U),1.08,2014
220,Hydro,Thirumoorthy Micro,Net Generation of 2014(M.U),2.4,2014
221,Hydro,Lower Aliyar,Net Generation of 2014(M.U),5.77,2014
222,Hydro,Amaravathy,Net Generation of 2014(M.U),5.95,2014
223,Hydro,Perunchani,Net Generation of 2014(M.U),1.32,2014
224,Hydro,Periyar,Net Generation of 2014(M.U),435.14,2014
225,Hydro,Vaigai Micro Hydel,Net Generation of 2014(M.U),12.67,2014
226,Hydro,Suruliyar,Net Generation of 2014(M.U),85.09,2014
227,Hydro,Papanasam,Net Generation of 2014(M.U),113.97,2014
228,Hydro,Servalar,Net Generation of 2014(M.U),27.74,2014
229,Hydro,Sarkarpathy,Net Generation of 2014(M.U),100.77,2014
230,Hydro,Aliyar,Net Generation of 2014(M.U),108.4,2014
231,Hydro,Kadamparai,Net Generation of 2014(M.U),398.16,2014
232,Hydro,Sholayar-1,Net Generation of 2014(M.U),209.18,2014
233,Hydro,Sholayar-2,Net Generation of 2014(M.U),55.06,2014
234,Hydro,Kodayar-1,Net Generation of 2014(M.U),136.92,2014
235,Hydro,Kodayar-2,Net Generation of 2014(M.U),63.03,2014
236,Thermal,Ennore TPS,Net Generation of 2014(M.U),385.41,2014
237,Thermal,North Chennai TPS,Net Generation of 2014(M.U),4040.57,2014
238,Thermal,Tuticorin TPS,Net Generation of 2014(M.U),6166.85,2014
239,Thermal,Mettur TPS,Net Generation of 2014(M.U),5509.12,2014
240,Gas,Basin Bridge,Net Generation of 2015(M.U),22.89,2015
241,Gas,Kovil Kalappal,Net Generation of 2015(M.U),373.52,2015
242,Gas,Vazhuthur,Net Generation of 2015(M.U),576.26,2015
243,Gas,Vazhuthur phase II,Net Generation of 2015(M.U),333.63,2015
244,Gas,Kuttalam,Net Generation of 2015(M.U),336.24,2015
245,Hydro,Pykara,Net Generation of 2015(M.U),26.95,2015
246,Hydro,Pykara Micro Hydel,Net Generation of 2015(M.U),5.79,2015
247,Hydro,PUSHEP,Net Generation of 2015(M.U),347.68,2015
248,Hydro,Moyar,Net Generation of 2015(M.U),118.53,2015
249,Hydro,Maravakandi Micro Hydel,Net Generation of 2015(M.U),0.94,2015
250,Hydro,Parsons valley,Net Generation of 2015(M.U),36.53,2015
251,Hydro,Kundah - 1,Net Generation of 2015(M.U),218.18,2015
252,Hydro,Kundah - 2,Net Generation of 2015(M.U),570.28,2015
253,Hydro,Kundah - 3,Net Generation of 2015(M.U),335.15,2015
254,Hydro,Kundah - 4,Net Generation of 2015(M.U),121.34,2015
255,Hydro,Kundah - 5,Net Generation of 2015(M.U),58.65,2015
256,Hydro,Mettur Dam,Net Generation of 2015(M.U),100.26,2015
257,Hydro,Mettur Tunnel,Net Generation of 2015(M.U),292.07,2015
258,Hydro,LMHEP-Barrage-1,Net Generation of 2015(M.U),64.62,2015
259,Hydro,LMHEP-Barrage-2,Net Generation of 2015(M.U),60.21,2015
260,Hydro,LMHEP-Barrage-3,Net Generation of 2015(M.U),64.96,2015
261,Hydro,LMHEP-Barrage-4,Net Generation of 2015(M.U),53.41,2015
262,Hydro,Bhavani Kattalai PH-1,Net Generation of 2015(M.U),82.48,2015
263,Hydro,Bhavanisagar RBC,Net Generation of 2015(M.U),12.71,2015
264,Hydro,Bhavani Sagar Micro Hydel,Net Generation of 2015(M.U),27.65,2015
265,Hydro,Poonachi Micro,Net Generation of 2015(M.U),2.43,2015
266,Hydro,Sathanur Micro,Net Generation of 2015(M.U),7.87,2015
267,Hydro,Mukurthy Micro,Net Generation of 2015(M.U),1.08,2015
268,Hydro,Thirumoorthy Micro,Net Generation of 2015(M.U),2.4,2015
269,Hydro,Lower Aliyar,Net Generation of 2015(M.U),5.77,2015
270,Hydro,Amaravathy,Net Generation of 2015(M.U),5.95,2015
271,Hydro,Perunchani,Net Generation of 2015(M.U),1.32,2015
272,Hydro,Periyar,Net Generation of 2015(M.U),435.14,2015
273,Hydro,Vaigai Micro Hydel,Net Generation of 2015(M.U),12.67,2015
274,Hydro,Suruliyar,Net Generation of 2015(M.U),85.09,2015
275,Hydro,Papanasam,Net Generation of 2015(M.U),113.97,2015
276,Hydro,Servalar,Net Generation of 2015(M.U),27.74,2015
277,Hydro,Sarkarpathy,Net Generation of 2015(M.U),100.77,2015
278,Hydro,Aliyar,Net Generation of 2015(M.U),108.4,2015
279,Hydro,Kadamparai,Net Generation of 2015(M.U),398.16,2015
280,Hydro,Sholayar-1,Net Generation of 2015(M.U),209.18,2015
281,Hydro,Sholayar-2,Net Generation of 2015(M.U),55.06,2015
282,Hydro,Kodayar-1,Net Generation of 2015(M.U),136.92,2015
283,Hydro,Kodayar-2,Net Generation of 2015(M.U),63.03,2015
284,Thermal,Ennore TPS,Net Generation of 2015(M.U),385.41,2015
285,Thermal,North Chennai TPS,Net Generation of 2015(M.U),4040.57,2015
286,Thermal,Tuticorin TPS,Net Generation of 2015(M.U),6166.85,2015
287,Thermal,Mettur TPS,Net Generation of 2015(M.U),5509.12,2015
288,Gas,Basin Bridge,Net Generation of 2016(M.U),9.53,2016
289,Gas,Kovil Kalappal,Net Generation of 2016(M.U),363.68,2016
290,Gas,Vazhuthur,Net Generation of 2016(M.U),675.72,2016
291,Gas,Vazhuthur phase II,Net Generation of 2016(M.U),0.0,2016
292,Gas,Kuttalam,Net Generation of 2016(M.U),518.48,2016
293,Hydro,Pykara,Net Generation of 2016(M.U),56.15,2016
294,Hydro,Pykara Micro Hydel,Net Generation of 2016(M.U),5.44,2016
295,Hydro,PUSHEP,Net Generation of 2016(M.U),279.24,2016
296,Hydro,Moyar,Net Generation of 2016(M.U),115.64,2016
297,Hydro,Maravakandi Micro Hydel,Net Generation of 2016(M.U),0.97,2016
298,Hydro,Parsons valley,Net Generation of 2016(M.U),25.5,2016
299,Hydro,Kundah - 1,Net Generation of 2016(M.U),229.64,2016
300,Hydro,Kundah - 2,Net Generation of 2016(M.U),619.67,2016
301,Hydro,Kundah - 3,Net Generation of 2016(M.U),364.17,2016
302,Hydro,Kundah - 4,Net Generation of 2016(M.U),117.32,2016
303,Hydro,Kundah - 5,Net Generation of 2016(M.U),37.61,2016
304,Hydro,Mettur Dam,Net Generation of 2016(M.U),92.14,2016
305,Hydro,Mettur Tunnel,Net Generation of 2016(M.U),245.86,2016
306,Hydro,LMHEP-Barrage-1,Net Generation of 2016(M.U),40.44,2016
307,Hydro,LMHEP-Barrage-2,Net Generation of 2016(M.U),62.22,2016
308,Hydro,LMHEP-Barrage-3,Net Generation of 2016(M.U),63.39,2016
309,Hydro,LMHEP-Barrage-4,Net Generation of 2016(M.U),53.86,2016
310,Hydro,Bhavani Kattalai PH-1,Net Generation of 2016(M.U),164.44,2016
311,Hydro,Bhavanisagar RBC,Net Generation of 2016(M.U),7.16,2016
312,Hydro,Bhavani Sagar Micro Hydel,Net Generation of 2016(M.U),30.01,2016
313,Hydro,Poonachi Micro,Net Generation of 2016(M.U),3.2,2016
314,Hydro,Sathanur Micro,Net Generation of 2016(M.U),10.7,2016
315,Hydro,Mukurthy Micro,Net Generation of 2016(M.U),0.29,2016
316,Hydro,Thirumoorthy Micro,Net Generation of 2016(M.U),1.16,2016
317,Hydro,Lower Aliyar,Net Generation of 2016(M.U),8.01,2016
318,Hydro,Amaravathy,Net Generation of 2016(M.U),4.84,2016
319,Hydro,Perunchani,Net Generation of 2016(M.U),1.25,2016
320,Hydro,Periyar,Net Generation of 2016(M.U),503.08,2016
321,Hydro,Vaigai Micro Hydel,Net Generation of 2016(M.U),17.93,2016
322,Hydro,Suruliyar,Net Generation of 2016(M.U),92.04,2016
323,Hydro,Papanasam,Net Generation of 2016(M.U),115.74,2016
324,Hydro,Servalar,Net Generation of 2016(M.U),38.92,2016
325,Hydro,Sarkarpathy,Net Generation of 2016(M.U),79.11,2016
326,Hydro,Aliyar,Net Generation of 2016(M.U),152.41,2016
327,Hydro,Kadamparai,Net Generation of 2016(M.U),411.06,2016
328,Hydro,Sholayar-1,Net Generation of 2016(M.U),206.63,2016
329,Hydro,Sholayar-2,Net Generation of 2016(M.U),56.56,2016
330,Hydro,Kodayar-1,Net Generation of 2016(M.U),192.27,2016
331,Hydro,Kodayar-2,Net Generation of 2016(M.U),85.55,2016
332,Thermal,Ennore TPS,Net Generation of 2016(M.U),347.36,2016
333,Thermal,North Chennai TPS,Net Generation of 2016(M.U),4046.39,2016
334,Thermal,Tuticorin TPS,Net Generation of 2016(M.U),6501.37,2016
335,Thermal,Mettur TPS,Net Generation of 2016(M.U),5471.33,2016
336,Gas,Basin Bridge,Net Generation of 2017(M.U),10.47,2017
337,Gas,Kovil Kalappal,Net Generation of 2017(M.U),308.97,2017
338,Gas,Vazhuthur,Net Generation of 2017(M.U),647.25,2017
339,Gas,Vazhuthur phase II,Net Generation of 2017(M.U),259.74,2017
340,Gas,Kuttalam,Net Generation of 2017(M.U),336.24,2017
341,Hydro,Pykara,Net Generation of 2017(M.U),12.5,2017
342,Hydro,Pykara Micro Hydel,Net Generation of 2017(M.U),3.3,2017
343,Hydro,PUSHEP,Net Generation of 2017(M.U),191.75,2017
344,Hydro,Moyar,Net Generation of 2017(M.U),48.97,2017
345,Hydro,Maravakandi Micro Hydel,Net Generation of 2017(M.U),0.32,2017
346,Hydro,Parsons valley,Net Generation of 2017(M.U),23.99,2017
347,Hydro,Kundah - 1,Net Generation of 2017(M.U),156.81,2017
348,Hydro,Kundah - 2,Net Generation of 2017(M.U),406.08,2017
349,Hydro,Kundah - 3,Net Generation of 2017(M.U),213.42,2017
350,Hydro,Kundah - 4,Net Generation of 2017(M.U),47.17,2017
351,Hydro,Kundah - 5,Net Generation of 2017(M.U),43.22,2017
352,Hydro,Mettur Dam,Net Generation of 2017(M.U),44.16,2017
353,Hydro,Mettur Tunnel,Net Generation of 2017(M.U),80.35,2017
354,Hydro,LMHEP-Barrage-1,Net Generation of 2017(M.U),21.87,2017
355,Hydro,LMHEP-Barrage-2,Net Generation of 2017(M.U),23.59,2017
356,Hydro,LMHEP-Barrage-3,Net Generation of 2017(M.U),25.12,2017
357,Hydro,LMHEP-Barrage-4,Net Generation of 2017(M.U),19.49,2017
358,Hydro,Bhavani Kattalai PH-1,Net Generation of 2017(M.U),58.47,2017
359,Hydro,Bhavanisagar RBC,Net Generation of 2017(M.U),0.0,2017
360,Hydro,Bhavani Sagar Micro Hydel,Net Generation of 2017(M.U),18.19,2017
361,Hydro,Poonachi Micro,Net Generation of 2017(M.U),1.72,2017
362,Hydro,Sathanur Micro,Net Generation of 2017(M.U),0.41,2017
363,Hydro,Mukurthy Micro,Net Generation of 2017(M.U),0.26,2017
364,Hydro,Thirumoorthy Micro,Net Generation of 2017(M.U),1.36,2017
365,Hydro,Lower Aliyar,Net Generation of 2017(M.U),0.01,2017
366,Hydro,Amaravathy,Net Generation of 2017(M.U),0.77,2017
367,Hydro,Perunchani,Net Generation of 2017(M.U),0.01,2017
368,Hydro,Periyar,Net Generation of 2017(M.U),93.09,2017
369,Hydro,Vaigai Micro Hydel,Net Generation of 2017(M.U),1.65,2017
370,Hydro,Suruliyar,Net Generation of 2017(M.U),41.92,2017
371,Hydro,Papanasam,Net Generation of 2017(M.U),65.71,2017
372,Hydro,Servalar,Net Generation of 2017(M.U),11.86,2017
373,Hydro,Sarkarpathy,Net Generation of 2017(M.U),63.19,2017
374,Hydro,Aliyar,Net Generation of 2017(M.U),61.22,2017
375,Hydro,Kadamparai,Net Generation of 2017(M.U),286.74,2017
376,Hydro,Sholayar-1,Net Generation of 2017(M.U),183.81,2017
