,Type,Name,variable,value,Year
0,Gas,Basin Bridge,Net Generation of 2010(M.U),79.16,2010
1,Gas,Kovil Kalappal,Net Generation of 2010(M.U),487.2,2010
2,Gas,Vazhuthur,Net Generation of 2010(M.U),504.44,2010
3,Gas,Vazhuthur phase II,Net Generation of 2010(M.U),504.44,2010
4,Gas,Kuttalam,Net Generation of 2010(M.U),602.78,2010
5,Hydro,Pykara,Net Generation of 2010(M.U),63.92,2010
6,Hydro,Pykara Micro Hydel,Net Generation of 2010(M.U),9.61,2010
7,Hydro,PUSHEP,Net Generation of 2010(M.U),557.3,2010
8,Hydro,Moyar,Net Generation of 2010(M.U),210.97,2010
9,Hydro,Maravakandi Micro Hydel,Net Generation of 2010(M.U),1.21,2010
10,Hydro,Parsons valley,Net Generation of 2010(M.U),65.14,2010
11,Hydro,Kundah - 1,Net Generation of 2010(M.U),278.02,2010
12,Hydro,Kundah - 2,Net Generation of 2010(M.U),733.42,2010
13,Hydro,Kundah - 3,Net Generation of 2010(M.U),435.92,2010
14,Hydro,Kundah - 4,Net Generation of 2010(M.U),166.71,2010
15,Hydro,Kundah - 5,Net Generation of 2010(M.U),84.98,2010
16,Hydro,Mettur Dam,Net Generation of 2010(M.U),82.26,2010
17,Hydro,Mettur Tunnel,Net Generation of 2010(M.U),388.63,2010
18,Hydro,LMHEP-Barrage-1,Net Generation of 2010(M.U),80.07,2010
19,Hydro,LMHEP-Barrage-2,Net Generation of 2010(M.U),75.79,2010
20,Hydro,LMHEP-Barrage-3,Net Generation of 2010(M.U),76.44,2010
21,Hydro,LMHEP-Barrage-4,Net Generation of 2010(M.U),62.46,2010
22,Hydro,Bhavani Kattalai PH-1,Net Generation of 2010(M.U),74.5,2010
23,Hydro,Bhavanisagar RBC,Net Generation of 2010(M.U),26.75,2010
24,Hydro,Bhavani Sagar Micro Hydel,Net Generation of 2010(M.U),36.63,2010
25,Hydro,Poonachi Micro,Net Generation of 2010(M.U),3.38,2010
26,Hydro,Sathanur Micro,Net Generation of 2010(M.U),6.51,2010
27,Hydro,Mukurthy Micro,Net Generation of 2010(M.U),2.18,2010
28,Hydro,Thirumoorthy Micro,Net Generation of 2010(M.U),3.13,2010
29,Hydro,Lower Aliyar,Net Generation of 2010(M.U),7.78,2010
30,Hydro,Amaravathy,Net Generation of 2010(M.U),10.16,2010
31,Hydro,Perunchani,Net Generation of 2010(M.U),2.34,2010
32,Hydro,Periyar,Net Generation of 2010(M.U),394.75,2010
33,Hydro,Vaigai Micro Hydel,Net Generation of 2010(M.U),10.37,2010
34,Hydro,Suruliyar,Net Generation of 2010(M.U),98.63,2010
35,Hydro,Papanasam,Net Generation of 2010(M.U),129.2,2010
