S.No,Category,Consumption (in M.U.),Percentage of Consumption
1,Industries (including Traction),33504,39.01
2,Agriculture,11250,13.10
3,Domestic,25815,30.06
4,Commercial,9916,11.54
5,Public Lighting and Water Works,2248,2.62
6,Miscellaneous,3157,3.67
Total,Total,85890,100
