S.No,Category,Consumer (Nos.) As on 31-03-2012,Connected Load (MW) As on 31-03-2012
1,H.T. Supply,7914,"7,532"
2,L.T. Supply Domestic,15438725,"18,534"
3,L.T. Supply Public Lighting,325070,266
4,L.T. Supply Water Supply,182913,726
5,L.T. Supply Industry,553024,"9,425"
6,L.T. Supply Agriculture,2018518,"8,267"
7,L.T. Supply Huts,1458614,89
8,L.T. Supply Education etc.,115634,319
9,L.T. Supply Commercial,2980814,"5,625"
10,Others,98350,121
Total,Total,23179576,"50,904"
