S.No,Category,Consumption(M.U.),Percentage of Consumption
1,Industries (including Traction),22663,37.9
2,Agriculture,10425,17.4
3,Domestic,16249,27.2
4,Commercial,6498,10.9
5,Public Lighting & Water works,1597,2.7
6,Sales of Licensees and Sales to other States,423,0.7
8,Miscellaneous,1897,3.2
Total,Total,59752,100
